heartbeat_id,sensor_pair,sensor_names,ptt_ms,sensor2_time_s,sensor3_time_s,sensor4_time_s,sensor5_time_s
3,sensor2-sensor3,nose→finger,-180.00000000000017,2.5,2.32,,
5,sensor2-sensor3,nose→finger,100.00000000000009,3.86,3.96,,
10,sensor2-sensor3,nose→finger,-120.00000000000011,7.88,7.76,,
11,sensor2-sensor3,nose→finger,-70.00000000000028,8.76,8.69,,
12,sensor2-sensor3,nose→finger,9.999999999999787,9.4,9.41,,
17,sensor2-sensor3,nose→finger,-80.00000000000007,14.22,14.14,,
18,sensor2-sensor3,nose→finger,-29.99999999999936,14.85,14.82,,
19,sensor2-sensor3,nose→finger,-109.99999999999943,15.85,15.74,,
20,sensor2-sensor3,nose→finger,-170.0000000000017,16.66,16.49,,
23,sensor2-sensor3,nose→finger,30.000000000001137,20.48,20.51,,
25,sensor2-sensor3,nose→finger,130.00000000000256,21.79,21.92,,
26,sensor2-sensor3,nose→finger,40.0000000000027,23.33,23.37,,
27,sensor2-sensor3,nose→finger,-89.99999999999986,23.87,23.78,,
29,sensor2-sensor3,nose→finger,-140.00000000000057,25.14,25.0,,
30,sensor2-sensor3,nose→finger,179.99999999999972,25.9,26.08,,
31,sensor2-sensor3,nose→finger,10.000000000001563,27.47,27.48,,
34,sensor2-sensor3,nose→finger,-19.999999999999574,29.27,29.25,,
35,sensor2-sensor3,nose→finger,120.000000000001,29.83,29.95,,
38,sensor2-sensor3,nose→finger,130.00000000000256,31.79,31.92,,
39,sensor2-sensor3,nose→finger,-19.99999999999602,32.65,32.63,,
41,sensor2-sensor3,nose→finger,-100.00000000000142,33.97,33.87,,
43,sensor2-sensor3,nose→finger,39.99999999999915,35.27,35.31,,
44,sensor2-sensor3,nose→finger,140.00000000000057,36.12,36.26,,
45,sensor2-sensor3,nose→finger,139.99999999999346,37.09,37.23,,
46,sensor2-sensor3,nose→finger,-149.99999999999858,37.83,37.68,,
50,sensor2-sensor3,nose→finger,179.99999999999972,40.59,40.77,,
52,sensor2-sensor3,nose→finger,-89.9999999999963,42.19,42.1,,
53,sensor2-sensor3,nose→finger,49.99999999999716,42.57,42.62,,
55,sensor2-sensor3,nose→finger,60.000000000002274,44.62,44.68,,
56,sensor2-sensor3,nose→finger,60.000000000002274,45.39,45.45,,
58,sensor2-sensor3,nose→finger,70.00000000000028,46.61,46.68,,
59,sensor2-sensor3,nose→finger,39.99999999999915,47.96,48.0,,
60,sensor2-sensor3,nose→finger,-149.99999999999858,49.29,49.14,,
61,sensor2-sensor3,nose→finger,-140.00000000000057,49.82,49.68,,
62,sensor2-sensor3,nose→finger,19.99999999999602,50.24,50.26,,
64,sensor2-sensor3,nose→finger,20.000000000003126,51.4,51.42,,
65,sensor2-sensor3,nose→finger,-9.99999999999801,52.55,52.54,,
67,sensor2-sensor3,nose→finger,19.99999999999602,53.89,53.91,,
68,sensor2-sensor3,nose→finger,60.000000000002274,54.3,54.36,,
69,sensor2-sensor3,nose→finger,0.0,54.79,54.79,,
72,sensor2-sensor3,nose→finger,-39.99999999999915,56.91,56.87,,
73,sensor2-sensor3,nose→finger,-60.000000000002274,57.42,57.36,,
75,sensor2-sensor3,nose→finger,-100.00000000000142,59.32,59.22,,
77,sensor2-sensor3,nose→finger,-39.99999999999915,60.51,60.47,,
80,sensor2-sensor3,nose→finger,70.00000000000028,62.83,62.9,,
84,sensor2-sensor3,nose→finger,129.99999999999545,65.2,65.33,,
85,sensor2-sensor3,nose→finger,19.99999999999602,65.86,65.88,,
86,sensor2-sensor3,nose→finger,120.00000000000455,66.39,66.51,,
87,sensor2-sensor3,nose→finger,70.00000000000739,66.99,67.06,,
89,sensor2-sensor3,nose→finger,149.99999999999147,68.67,68.82,,
90,sensor2-sensor3,nose→finger,19.99999999999602,69.39,69.41,,
92,sensor2-sensor3,nose→finger,170.0000000000017,70.41,70.58,,
93,sensor2-sensor3,nose→finger,-180.00000000000682,71.4,71.22,,
95,sensor2-sensor3,nose→finger,-170.0000000000017,72.77,72.6,,
96,sensor2-sensor3,nose→finger,49.99999999999716,73.37,73.42,,
97,sensor2-sensor3,nose→finger,109.99999999999943,73.89,74.0,,
98,sensor2-sensor3,nose→finger,30.000000000001137,74.5,74.53,,
99,sensor2-sensor3,nose→finger,49.99999999999716,75.09,75.14,,
101,sensor2-sensor3,nose→finger,79.9999999999983,76.73,76.81,,
103,sensor2-sensor3,nose→finger,-39.99999999999204,79.16,79.12,,
104,sensor2-sensor3,nose→finger,-149.99999999999147,80.38,80.23,,
106,sensor2-sensor3,nose→finger,-120.00000000000455,81.42,81.3,,
107,sensor2-sensor3,nose→finger,79.9999999999983,81.8,81.88,,
108,sensor2-sensor3,nose→finger,70.00000000000739,82.49,82.56,,
109,sensor2-sensor3,nose→finger,109.99999999999943,83.04,83.15,,
110,sensor2-sensor3,nose→finger,140.00000000000057,83.57,83.71,,
111,sensor2-sensor3,nose→finger,19.99999999999602,84.94,84.96,,
113,sensor2-sensor3,nose→finger,100.00000000000853,85.91,86.01,,
114,sensor2-sensor3,nose→finger,170.0000000000017,86.51,86.68,,
115,sensor2-sensor3,nose→finger,70.00000000000739,87.08,87.15,,
119,sensor2-sensor3,nose→finger,30.000000000001137,89.41,89.44,,
121,sensor2-sensor3,nose→finger,-10.000000000005116,90.53,90.52,,
122,sensor2-sensor3,nose→finger,-79.9999999999983,91.64,91.56,,
124,sensor2-sensor3,nose→finger,-90.00000000000341,92.78,92.69,,
125,sensor2-sensor3,nose→finger,19.99999999999602,93.31,93.33,,
126,sensor2-sensor3,nose→finger,-19.99999999999602,93.89,93.87,,
127,sensor2-sensor3,nose→finger,119.99999999999034,94.29,94.41,,
128,sensor2-sensor3,nose→finger,90.00000000000341,94.88,94.97,,
129,sensor2-sensor3,nose→finger,19.99999999999602,95.65,95.67,,
130,sensor2-sensor3,nose→finger,-49.99999999999716,96.08,96.03,,
134,sensor2-sensor3,nose→finger,30.000000000001137,99.77,99.8,,
136,sensor2-sensor3,nose→finger,39.99999999999204,101.29,101.33,,
140,sensor2-sensor3,nose→finger,170.0000000000017,103.55,103.72,,
141,sensor2-sensor3,nose→finger,-129.99999999999545,104.33,104.2,,
143,sensor2-sensor3,nose→finger,-39.99999999999204,105.55,105.51,,
145,sensor2-sensor3,nose→finger,79.9999999999983,107.22,107.3,,
146,sensor2-sensor3,nose→finger,-69.99999999999318,107.88,107.81,,
147,sensor2-sensor3,nose→finger,-190.00000000001194,109.01,108.82,,
149,sensor2-sensor3,nose→finger,150.00000000000568,110.44,110.59,,
150,sensor2-sensor3,nose→finger,49.99999999999716,111.3,111.35,,
152,sensor2-sensor3,nose→finger,49.99999999999716,112.97,113.02,,
153,sensor2-sensor3,nose→finger,0.0,113.59,113.59,,
154,sensor2-sensor3,nose→finger,70.00000000000739,114.21,114.28,,
155,sensor2-sensor3,nose→finger,-169.9999999999875,114.82,114.65,,
156,sensor2-sensor3,nose→finger,140.00000000000057,116.0,116.14,,
157,sensor2-sensor3,nose→finger,-99.99999999999432,117.25,117.15,,
158,sensor2-sensor3,nose→finger,-10.000000000005116,118.18,118.17,,
