sensor,sensor_name,peak_number,peak_index,peak_time_s,quality
sensor2,nose,1,142,1.42,excellent
sensor2,nose,2,250,2.5,excellent
sensor2,nose,3,300,3.0,excellent
sensor2,nose,4,386,3.86,excellent
sensor2,nose,5,487,4.87,excellent
sensor2,nose,6,543,5.43,excellent
sensor2,nose,7,684,6.84,excellent
sensor2,nose,8,788,7.88,excellent
sensor2,nose,9,876,8.76,excellent
sensor2,nose,10,940,9.4,excellent
sensor2,nose,11,1087,10.87,excellent
sensor2,nose,12,1254,12.54,excellent
sensor2,nose,13,1372,13.72,excellent
sensor2,nose,14,1422,14.22,excellent
sensor2,nose,15,1485,14.85,excellent
sensor2,nose,16,1585,15.85,excellent
sensor2,nose,17,1666,16.66,excellent
sensor2,nose,18,1775,17.75,excellent
sensor2,nose,19,1846,18.46,excellent
sensor2,nose,20,1921,19.21,excellent
sensor2,nose,21,1971,19.71,excellent
sensor2,nose,22,2048,20.48,excellent
sensor2,nose,23,2126,21.26,excellent
sensor2,nose,24,2179,21.79,excellent
sensor2,nose,25,2287,22.87,excellent
sensor2,nose,26,2333,23.33,excellent
sensor2,nose,27,2387,23.87,excellent
sensor2,nose,28,2514,25.14,excellent
sensor2,nose,29,2590,25.9,excellent
sensor2,nose,30,2657,26.57,excellent
sensor2,nose,31,2747,27.47,excellent
sensor2,nose,32,2825,28.25,excellent
sensor2,nose,33,2927,29.27,excellent
sensor2,nose,34,2983,29.83,excellent
sensor2,nose,35,3099,30.99,excellent
sensor2,nose,36,3179,31.79,excellent
sensor2,nose,37,3265,32.65,excellent
sensor2,nose,38,3397,33.97,excellent
sensor2,nose,39,3527,35.27,excellent
sensor2,nose,40,3612,36.12,excellent
sensor2,nose,41,3653,36.53,excellent
sensor2,nose,42,3709,37.09,excellent
sensor2,nose,43,3783,37.83,excellent
sensor2,nose,44,3815,38.15,excellent
sensor2,nose,45,3956,39.56,excellent
sensor2,nose,46,4059,40.59,excellent
sensor2,nose,47,4111,41.11,excellent
sensor2,nose,48,4219,42.19,excellent
sensor2,nose,49,4257,42.57,excellent
sensor2,nose,50,4387,43.87,excellent
sensor2,nose,51,4462,44.62,excellent
sensor2,nose,52,4539,45.39,excellent
sensor2,nose,53,4587,45.87,excellent
sensor2,nose,54,4661,46.61,excellent
sensor2,nose,55,4728,47.28,excellent
sensor2,nose,56,4796,47.96,excellent
sensor2,nose,57,4852,48.52,excellent
sensor2,nose,58,4929,49.29,excellent
sensor2,nose,59,4982,49.82,excellent
sensor2,nose,60,5024,50.24,excellent
sensor2,nose,61,5140,51.4,excellent
sensor2,nose,62,5201,52.01,excellent
sensor2,nose,63,5255,52.55,excellent
sensor2,nose,64,5389,53.89,excellent
sensor2,nose,65,5430,54.3,excellent
sensor2,nose,66,5479,54.79,excellent
sensor2,nose,67,5591,55.91,excellent
sensor2,nose,68,5691,56.91,excellent
sensor2,nose,69,5742,57.42,excellent
sensor2,nose,70,5825,58.25,excellent
sensor2,nose,71,5932,59.32,excellent
sensor2,nose,72,6051,60.51,excellent
sensor2,nose,73,6226,62.26,excellent
sensor2,nose,74,6283,62.83,excellent
sensor2,nose,75,6368,63.68,excellent
sensor2,nose,76,6459,64.59,excellent
sensor2,nose,77,6520,65.2,excellent
sensor2,nose,78,6586,65.86,excellent
sensor2,nose,79,6639,66.39,excellent
sensor2,nose,80,6699,66.99,excellent
sensor2,nose,81,6780,67.8,excellent
sensor2,nose,82,6867,68.67,excellent
sensor2,nose,83,6939,69.39,excellent
sensor2,nose,84,7041,70.41,excellent
sensor2,nose,85,7140,71.4,excellent
sensor2,nose,86,7226,72.26,excellent
sensor2,nose,87,7277,72.77,excellent
sensor2,nose,88,7337,73.37,excellent
sensor2,nose,89,7389,73.89,excellent
sensor2,nose,90,7450,74.5,excellent
sensor2,nose,91,7509,75.09,excellent
sensor2,nose,92,7594,75.94,excellent
sensor2,nose,93,7673,76.73,excellent
sensor2,nose,94,7737,77.37,excellent
sensor2,nose,95,7847,78.47,excellent
sensor2,nose,96,7916,79.16,excellent
sensor2,nose,97,8038,80.38,excellent
sensor2,nose,98,8142,81.42,excellent
sensor2,nose,99,8180,81.8,excellent
sensor2,nose,100,8249,82.49,excellent
sensor2,nose,101,8304,83.04,excellent
sensor2,nose,102,8357,83.57,excellent
sensor2,nose,103,8494,84.94,excellent
sensor2,nose,104,8591,85.91,excellent
sensor2,nose,105,8651,86.51,excellent
sensor2,nose,106,8708,87.08,excellent
sensor2,nose,107,8794,87.94,excellent
sensor2,nose,108,8941,89.41,excellent
sensor2,nose,109,9053,90.53,excellent
sensor2,nose,110,9093,90.93,excellent
sensor2,nose,111,9164,91.64,excellent
sensor2,nose,112,9278,92.78,excellent
sensor2,nose,113,9331,93.31,excellent
sensor2,nose,114,9389,93.89,excellent
sensor2,nose,115,9429,94.29,excellent
sensor2,nose,116,9488,94.88,excellent
sensor2,nose,117,9565,95.65,excellent
sensor2,nose,118,9608,96.08,excellent
sensor2,nose,119,9798,97.98,excellent
sensor2,nose,120,9925,99.25,excellent
sensor2,nose,121,9977,99.77,excellent
sensor2,nose,122,10033,100.33,excellent
sensor2,nose,123,10129,101.29,excellent
sensor2,nose,124,10254,102.54,excellent
sensor2,nose,125,10355,103.55,excellent
sensor2,nose,126,10433,104.33,excellent
sensor2,nose,127,10555,105.55,excellent
sensor2,nose,128,10670,106.7,excellent
sensor2,nose,129,10722,107.22,excellent
sensor2,nose,130,10788,107.88,excellent
sensor2,nose,131,10828,108.28,excellent
sensor2,nose,132,10901,109.01,excellent
sensor2,nose,133,11044,110.44,excellent
sensor2,nose,134,11130,111.3,excellent
sensor2,nose,135,11297,112.97,excellent
sensor2,nose,136,11359,113.59,excellent
sensor2,nose,137,11421,114.21,excellent
sensor2,nose,138,11482,114.82,excellent
sensor2,nose,139,11600,116.0,excellent
sensor2,nose,140,11725,117.25,excellent
sensor2,nose,141,11772,117.72,excellent
sensor2,nose,142,11818,118.18,excellent
sensor2,nose,143,11897,118.97,excellent
sensor2,nose,144,12023,120.23,excellent
sensor2,nose,145,12066,120.66,excellent
sensor2,nose,146,12137,121.37,excellent
sensor2,nose,147,12192,121.92,excellent
sensor2,nose,148,12252,122.52,excellent
sensor2,nose,149,12310,123.1,excellent
sensor2,nose,150,12378,123.78,excellent
sensor2,nose,151,12430,124.3,excellent
sensor2,nose,152,12490,124.9,excellent
sensor2,nose,153,12544,125.44,excellent
sensor2,nose,154,12597,125.97,excellent
sensor2,nose,155,12718,127.18,excellent
sensor2,nose,156,12834,128.34,excellent
sensor2,nose,157,12893,128.93,excellent
sensor2,nose,158,12962,129.62,excellent
sensor2,nose,159,13063,130.63,excellent
sensor2,nose,160,13137,131.37,excellent
sensor2,nose,161,13232,132.32,excellent
sensor3,finger,1,39,0.39,excellent
sensor3,finger,2,186,1.86,excellent
sensor3,finger,3,232,2.32,excellent
sensor3,finger,4,346,3.46,excellent
sensor3,finger,5,396,3.96,excellent
sensor3,finger,6,510,5.1,excellent
sensor3,finger,7,573,5.73,excellent
sensor3,finger,8,621,6.21,excellent
sensor3,finger,9,715,7.15,excellent
sensor3,finger,10,776,7.76,excellent
sensor3,finger,11,869,8.69,excellent
sensor3,finger,12,941,9.41,excellent
sensor3,finger,13,978,9.78,excellent
sensor3,finger,14,1115,11.15,excellent
sensor3,finger,15,1191,11.91,excellent
sensor3,finger,16,1321,13.21,excellent
sensor3,finger,17,1414,14.14,excellent
sensor3,finger,18,1482,14.82,excellent
sensor3,finger,19,1574,15.74,excellent
sensor3,finger,20,1649,16.49,excellent
sensor3,finger,21,1750,17.5,excellent
sensor3,finger,22,1878,18.78,excellent
sensor3,finger,23,2051,20.51,excellent
sensor3,finger,24,2095,20.95,excellent
sensor3,finger,25,2192,21.92,excellent
sensor3,finger,26,2337,23.37,excellent
sensor3,finger,27,2378,23.78,excellent
sensor3,finger,28,2460,24.6,excellent
sensor3,finger,29,2500,25.0,excellent
sensor3,finger,30,2608,26.08,excellent
sensor3,finger,31,2748,27.48,excellent
sensor3,finger,32,2797,27.97,excellent
sensor3,finger,33,2857,28.57,excellent
