heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor3_time_s,sensor4_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms
0,0,sensor3-sensor4,finger→wrist,17.999612881561376,1.4399690305249142,1.4579686434064756,0.0,19.997569911414747,sensor3,725.1767112859844
1,0,sensor3-sensor4,finger→wrist,-8.999806440780578,2.1509537393465905,2.14195393290581,0.0,19.997569911414747,sensor3,725.1767112859844
2,0,sensor3-sensor4,finger→wrist,143.99690305249146,2.510945996977819,2.6549429000303104,0.0,19.997569911414747,sensor3,725.1767112859844
3,0,sensor3-sensor4,finger→wrist,-8.999806440780578,3.545923737667601,3.5369239312268204,0.0,19.997569911414747,sensor3,725.1767112859844
4,0,sensor3-sensor4,finger→wrist,62.99864508546449,4.256908446489278,4.319907091574742,0.0,19.997569911414747,sensor3,725.1767112859844
5,0,sensor3-sensor4,finger→wrist,53.998838644684355,4.976892961751735,5.030891800396419,0.0,19.997569911414747,sensor3,725.1767112859844
6,0,sensor3-sensor4,finger→wrist,-35.9992257631232,5.732876702777315,5.6968774770141914,0.0,19.997569911414747,sensor3,725.1767112859844
7,0,sensor3-sensor4,finger→wrist,26.999419322342177,6.470860830921333,6.497860250243675,0.0,19.997569911414747,sensor3,725.1767112859844
8,0,sensor3-sensor4,finger→wrist,44.99903220390333,7.226844571946913,7.271843604150816,0.0,19.997569911414747,sensor3,725.1767112859844
9,0,sensor3-sensor4,finger→wrist,35.9992257631232,7.982828312972493,8.018827538735616,0.0,19.997569911414747,sensor3,725.1767112859844
10,0,sensor3-sensor4,finger→wrist,26.999419322342177,8.72081244111651,8.747811860438853,0.0,19.997569911414747,sensor3,725.1767112859844
11,0,sensor3-sensor4,finger→wrist,44.99903220390422,9.494795795023652,9.539794827227556,0.0,19.997569911414747,sensor3,725.1767112859844
12,0,sensor3-sensor4,finger→wrist,26.999419322342177,10.277778955371575,10.304778374693917,0.0,19.997569911414747,sensor3,725.1767112859844
13,0,sensor3-sensor4,finger→wrist,26.999419322342177,11.060762115719497,11.087761535041839,0.0,19.997569911414747,sensor3,725.1767112859844
14,0,sensor3-sensor4,finger→wrist,35.99922576312409,11.807746050304296,11.84374527606742,0.0,19.997569911414747,sensor3,725.1767112859844
15,0,sensor3-sensor4,finger→wrist,26.999419322342177,12.536730372007534,12.563729791329877,0.0,19.997569911414747,sensor3,725.1767112859844
16,0,sensor3-sensor4,finger→wrist,44.99903220390422,13.328713338796236,13.37371237100014,0.0,19.997569911414747,sensor3,725.1767112859844
17,0,sensor3-sensor4,finger→wrist,17.999612881560267,14.084697079821817,14.102696692703377,0.0,19.997569911414747,sensor3,725.1767112859844
18,0,sensor3-sensor4,finger→wrist,44.99903220390422,15.551665529669073,15.596664561872977,0.0,19.997569911414747,sensor3,725.1767112859844
19,0,sensor3-sensor4,finger→wrist,35.99922576312409,16.28964965781309,16.325648883576214,0.0,19.997569911414747,sensor3,725.1767112859844
20,0,sensor3-sensor4,finger→wrist,44.99903220390422,17.02763378595711,17.072632818161015,0.0,19.997569911414747,sensor3,725.1767112859844
21,0,sensor3-sensor4,finger→wrist,44.99903220390422,18.53060146156749,18.575600493771393,0.0,19.997569911414747,sensor3,725.1767112859844
22,0,sensor3-sensor4,finger→wrist,35.999225763120535,19.331584234796974,19.367583460560095,0.0,19.997569911414747,sensor3,725.1767112859844
23,10,sensor3-sensor4,finger→wrist,71.99845152624818,50.33591742328653,50.40791587481278,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
24,10,sensor3-sensor4,finger→wrist,26.999419322343954,51.13690019651602,51.16389961583836,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
25,10,sensor3-sensor4,finger→wrist,71.99845152624107,51.8928839375416,51.96488238906784,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
26,10,sensor3-sensor4,finger→wrist,53.9988386446808,52.6848669043303,52.73886574297498,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
27,10,sensor3-sensor4,finger→wrist,44.99903220390422,53.46785006467822,53.51284909688212,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
28,10,sensor3-sensor4,finger→wrist,62.99864508546449,54.30483206367083,54.367830708756294,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
29,10,sensor3-sensor4,finger→wrist,44.99903220390422,55.13281425622265,55.177813288426556,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
30,10,sensor3-sensor4,finger→wrist,53.99883864468791,55.96979625521526,56.023795093859945,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
31,10,sensor3-sensor4,finger→wrist,89.99806440780844,56.83377767353021,56.923775737938016,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
32,10,sensor3-sensor4,finger→wrist,17.999612881560267,57.62576064031891,57.64376025320047,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
33,10,sensor3-sensor4,finger→wrist,71.99845152624107,58.426743413548394,58.498741865074635,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
34,10,sensor3-sensor4,finger→wrist,71.99845152624107,59.200726767455535,59.272725218981776,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
35,10,sensor3-sensor4,finger→wrist,26.999419322343954,59.974710121362676,60.00170954068502,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
36,10,sensor3-sensor4,finger→wrist,35.999225763120535,60.74869347526982,60.78469270103294,49.94892574633296,69.9464956577477,sensor3,802.4827409696136
