heartbeat_id,sensor_pair,sensor_names,ptt_ms,sensor2_time_s,sensor3_time_s,sensor4_time_s
4,sensor2-sensor3,nose→finger,139.9999999999997,4.62,4.76,
6,sensor2-sensor3,nose→finger,-80.00000000000007,6.93,6.85,
7,sensor2-sensor3,nose→finger,179.99999999999972,8.23,8.41,
10,sensor2-sensor3,nose→finger,80.00000000000007,10.31,10.39,
11,sensor2-sensor3,nose→finger,-180.00000000000148,11.88,11.7,
12,sensor2-sensor3,nose→finger,-60.0000000000005,12.57,12.51,
14,sensor2-sensor3,nose→finger,-140.00000000000057,14.39,14.25,
21,sensor2-sensor3,nose→finger,-160.00000000000014,20.52,20.36,
26,sensor2-sensor3,nose→finger,30.000000000001137,25.2,25.23,
30,sensor2-sensor3,nose→finger,-19.999999999999574,29.56,29.54,
32,sensor2-sensor3,nose→finger,-169.99999999999815,31.86,31.69,
34,sensor2-sensor3,nose→finger,160.0000000000037,33.01,33.17,
35,sensor2-sensor3,nose→finger,59.99999999999517,34.02,34.08,
38,sensor2-sensor3,nose→finger,-39.99999999999915,36.55,36.51,
40,sensor2-sensor3,nose→finger,30.000000000001137,38.44,38.47,
44,sensor2-sensor3,nose→finger,189.99999999999773,42.71,42.9,
45,sensor2-sensor3,nose→finger,189.99999999999773,44.46,44.65,
47,sensor2-sensor3,nose→finger,60.000000000002274,47.76,47.82,
49,sensor2-sensor3,nose→finger,-169.9999999999946,49.62,49.45,
51,sensor2-sensor3,nose→finger,170.0000000000017,51.66,51.83,
52,sensor2-sensor3,nose→finger,119.99999999999744,53.53,53.65,
53,sensor2-sensor3,nose→finger,-190.00000000000483,54.6,54.41,
58,sensor2-sensor3,nose→finger,-9.99999999999801,59.79,59.78,
63,sensor2-sensor3,nose→finger,10.000000000005116,65.14,65.15,
65,sensor2-sensor3,nose→finger,-9.999999999990905,67.74,67.73,
68,sensor2-sensor3,nose→finger,-109.99999999999943,70.37,70.26,
70,sensor2-sensor3,nose→finger,-120.00000000000455,71.64,71.52,
72,sensor2-sensor3,nose→finger,10.000000000005116,73.67,73.68,
73,sensor2-sensor3,nose→finger,0.0,74.48,74.48,
76,sensor2-sensor3,nose→finger,79.9999999999983,76.7,76.78,
78,sensor2-sensor3,nose→finger,-189.99999999999773,78.23,78.04,
84,sensor2-sensor3,nose→finger,99.99999999999432,83.68,83.78,
89,sensor2-sensor3,nose→finger,-50.00000000001137,90.26,90.21,
90,sensor2-sensor3,nose→finger,30.000000000001137,91.59,91.62,
92,sensor2-sensor3,nose→finger,30.000000000001137,94.57,94.6,
97,sensor2-sensor3,nose→finger,-9.999999999990905,102.82,102.81,
98,sensor2-sensor3,nose→finger,-159.9999999999966,103.69,103.53,
101,sensor2-sensor3,nose→finger,-20.000000000010232,107.34,107.32,
102,sensor2-sensor3,nose→finger,-140.00000000000057,108.24,108.1,
103,sensor2-sensor3,nose→finger,80.0000000000125,109.82,109.9,
105,sensor2-sensor3,nose→finger,-129.99999999999545,112.42,112.29,
115,sensor2-sensor3,nose→finger,-100.00000000000853,123.31,123.21,
117,sensor2-sensor3,nose→finger,189.99999999999773,125.59,125.78,
118,sensor2-sensor3,nose→finger,-130.00000000000966,126.23,126.1,
124,sensor2-sensor3,nose→finger,-9.999999999990905,130.87,130.86,
126,sensor2-sensor3,nose→finger,0.0,132.04,132.04,
135,sensor2-sensor3,nose→finger,-30.000000000001137,140.22,140.19,
136,sensor2-sensor3,nose→finger,170.00000000001592,141.79,141.96,
139,sensor2-sensor3,nose→finger,129.99999999999545,144.06,144.19,
140,sensor2-sensor3,nose→finger,30.000000000001137,145.22,145.25,
141,sensor2-sensor3,nose→finger,-99.99999999999432,146.28,146.18,
144,sensor2-sensor3,nose→finger,80.0000000000125,148.94,149.02,
145,sensor2-sensor3,nose→finger,100.00000000002274,149.95,150.05,
146,sensor2-sensor3,nose→finger,-19.99999999998181,150.85,150.83,
148,sensor2-sensor3,nose→finger,-59.99999999997385,152.67,152.61,
152,sensor2-sensor3,nose→finger,199.99999999998863,156.27,156.47,
157,sensor2-sensor3,nose→finger,-49.99999999998295,160.1,160.05,
159,sensor2-sensor3,nose→finger,-159.9999999999966,161.59,161.43,
160,sensor2-sensor3,nose→finger,-20.000000000010232,162.75,162.73,
164,sensor2-sensor3,nose→finger,-60.000000000002274,168.47,168.41,
165,sensor2-sensor3,nose→finger,-129.99999999999545,169.42,169.29,
167,sensor2-sensor3,nose→finger,-79.99999999998408,171.07,170.99,
168,sensor2-sensor3,nose→finger,130.00000000002387,171.95,172.08,
171,sensor2-sensor3,nose→finger,30.000000000001137,174.67,174.7,
174,sensor2-sensor3,nose→finger,-130.00000000002387,177.3,177.17,
178,sensor2-sensor3,nose→finger,-20.000000000010232,181.44,181.42,
180,sensor2-sensor3,nose→finger,69.99999999999318,183.28,183.35,
183,sensor2-sensor3,nose→finger,-9.999999999990905,186.0,185.99,
188,sensor2-sensor3,nose→finger,-50.00000000001137,189.56,189.51,
192,sensor2-sensor3,nose→finger,-99.99999999999432,192.48,192.38,
194,sensor2-sensor3,nose→finger,-80.0000000000125,194.43,194.35,
196,sensor2-sensor3,nose→finger,69.99999999999318,196.09,196.16,
198,sensor2-sensor3,nose→finger,-89.99999999997499,197.92,197.83,
2,sensor2-sensor4,nose→wrist,-60.00000000000006,2.89,,2.83
4,sensor2-sensor4,nose→wrist,99.99999999999964,4.62,,4.72
5,sensor2-sensor4,nose→wrist,-190.0000000000004,5.57,,5.38
6,sensor2-sensor4,nose→wrist,-149.99999999999946,6.93,,6.78
7,sensor2-sensor4,nose→wrist,-160.00000000000014,8.23,,8.07
9,sensor2-sensor4,nose→wrist,20.00000000000135,9.87,,9.89
10,sensor2-sensor4,nose→wrist,-40.000000000000924,10.31,,10.27
12,sensor2-sensor4,nose→wrist,-70.00000000000028,12.57,,12.5
14,sensor2-sensor4,nose→wrist,-160.00000000000014,14.39,,14.23
16,sensor2-sensor4,nose→wrist,-49.999999999998934,15.86,,15.81
20,sensor2-sensor4,nose→wrist,-10.000000000001563,19.32,,19.31
21,sensor2-sensor4,nose→wrist,-59.99999999999872,20.52,,20.46
23,sensor2-sensor4,nose→wrist,-99.99999999999787,23.33,,23.23
32,sensor2-sensor4,nose→wrist,-30.000000000001137,31.86,,31.83
35,sensor2-sensor4,nose→wrist,-100.00000000000142,34.02,,33.92
36,sensor2-sensor4,nose→wrist,9.99999999999801,34.95,,34.96
38,sensor2-sensor4,nose→wrist,60.000000000002274,36.55,,36.61
45,sensor2-sensor4,nose→wrist,189.99999999999773,44.46,,44.65
46,sensor2-sensor4,nose→wrist,170.0000000000017,46.44,,46.61
47,sensor2-sensor4,nose→wrist,-179.99999999999972,47.76,,47.58
49,sensor2-sensor4,nose→wrist,-159.9999999999966,49.62,,49.46
50,sensor2-sensor4,nose→wrist,-170.0000000000017,50.72,,50.55
52,sensor2-sensor4,nose→wrist,199.99999999999574,53.53,,53.73
56,sensor2-sensor4,nose→wrist,190.00000000000483,56.87,,57.06
58,sensor2-sensor4,nose→wrist,140.00000000000057,59.79,,59.93
68,sensor2-sensor4,nose→wrist,30.000000000001137,70.37,,70.4
72,sensor2-sensor4,nose→wrist,90.00000000000341,73.67,,73.76
73,sensor2-sensor4,nose→wrist,30.000000000001137,74.48,,74.51
76,sensor2-sensor4,nose→wrist,170.0000000000017,76.7,,76.87
84,sensor2-sensor4,nose→wrist,49.99999999999716,83.68,,83.73
89,sensor2-sensor4,nose→wrist,-30.000000000001137,90.26,,90.23
90,sensor2-sensor4,nose→wrist,-90.00000000000341,91.59,,91.5
92,sensor2-sensor4,nose→wrist,110.00000000001364,94.57,,94.68
97,sensor2-sensor4,nose→wrist,40.00000000000625,102.82,,102.86
98,sensor2-sensor4,nose→wrist,-79.9999999999983,103.69,,103.61
100,sensor2-sensor4,nose→wrist,-69.99999999999318,105.61,,105.54
101,sensor2-sensor4,nose→wrist,19.99999999999602,107.34,,107.36
105,sensor2-sensor4,nose→wrist,90.00000000000341,112.42,,112.51
108,sensor2-sensor4,nose→wrist,-189.99999999999773,115.49,,115.3
111,sensor2-sensor4,nose→wrist,140.00000000000057,118.71,,118.85
113,sensor2-sensor4,nose→wrist,-150.00000000000568,121.25,,121.1
121,sensor2-sensor4,nose→wrist,179.9999999999784,128.24,,128.42
123,sensor2-sensor4,nose→wrist,-140.00000000001478,129.81,,129.67
124,sensor2-sensor4,nose→wrist,-129.99999999999545,130.87,,130.74
126,sensor2-sensor4,nose→wrist,50.00000000001137,132.04,,132.09
127,sensor2-sensor4,nose→wrist,-30.000000000001137,133.0,,132.97
129,sensor2-sensor4,nose→wrist,-90.00000000000341,135.06,,134.97
130,sensor2-sensor4,nose→wrist,-149.99999999997726,136.17,,136.02
131,sensor2-sensor4,nose→wrist,40.000000000020464,137.17,,137.21
135,sensor2-sensor4,nose→wrist,-139.99999999998636,140.22,,140.08
136,sensor2-sensor4,nose→wrist,-139.99999999998636,141.79,,141.65
138,sensor2-sensor4,nose→wrist,-49.99999999998295,143.2,,143.15
139,sensor2-sensor4,nose→wrist,79.99999999998408,144.06,,144.14
140,sensor2-sensor4,nose→wrist,-69.99999999999318,145.22,,145.15
141,sensor2-sensor4,nose→wrist,0.0,146.28,,146.28
146,sensor2-sensor4,nose→wrist,-60.000000000002274,150.85,,150.79
149,sensor2-sensor4,nose→wrist,-50.00000000001137,153.5,,153.45
150,sensor2-sensor4,nose→wrist,-129.99999999999545,154.35,,154.22
151,sensor2-sensor4,nose→wrist,-189.99999999999773,155.27,,155.08
157,sensor2-sensor4,nose→wrist,-39.99999999999204,160.1,,160.06
159,sensor2-sensor4,nose→wrist,-120.00000000000455,161.59,,161.47
160,sensor2-sensor4,nose→wrist,0.0,162.75,,162.75
161,sensor2-sensor4,nose→wrist,60.000000000002274,163.76,,163.82
164,sensor2-sensor4,nose→wrist,0.0,168.47,,168.47
168,sensor2-sensor4,nose→wrist,150.00000000000568,171.95,,172.1
174,sensor2-sensor4,nose→wrist,-180.00000000000682,177.3,,177.12
176,sensor2-sensor4,nose→wrist,-79.99999999998408,178.66,,178.58
177,sensor2-sensor4,nose→wrist,0.0,180.62,,180.62
178,sensor2-sensor4,nose→wrist,50.00000000001137,181.44,,181.49
180,sensor2-sensor4,nose→wrist,-159.9999999999966,183.28,,183.12
185,sensor2-sensor4,nose→wrist,-10.000000000019327,187.93,,187.92
186,sensor2-sensor4,nose→wrist,-80.0000000000125,188.61,,188.53
188,sensor2-sensor4,nose→wrist,129.99999999999545,189.56,,189.69
192,sensor2-sensor4,nose→wrist,-129.99999999999545,192.48,,192.35
196,sensor2-sensor4,nose→wrist,120.00000000000455,196.09,,196.21
198,sensor2-sensor4,nose→wrist,-59.99999999997385,197.92,,197.86
199,sensor2-sensor4,nose→wrist,79.99999999998408,199.15,,199.23
4,sensor3-sensor4,finger→wrist,-40.000000000000036,,4.76,4.72
6,sensor3-sensor4,finger→wrist,-69.9999999999994,,6.85,6.78
7,sensor3-sensor4,finger→wrist,-339.9999999999999,,8.41,8.07
10,sensor3-sensor4,finger→wrist,-120.000000000001,,10.39,10.27
12,sensor3-sensor4,finger→wrist,-9.999999999999787,,12.51,12.5
14,sensor3-sensor4,finger→wrist,-19.999999999999574,,14.25,14.23
21,sensor3-sensor4,finger→wrist,100.00000000000142,,20.36,20.46
32,sensor3-sensor4,finger→wrist,139.99999999999702,,31.69,31.83
35,sensor3-sensor4,finger→wrist,-159.9999999999966,,34.08,33.92
38,sensor3-sensor4,finger→wrist,100.00000000000142,,36.51,36.61
45,sensor3-sensor4,finger→wrist,0.0,,44.65,44.65
47,sensor3-sensor4,finger→wrist,-240.000000000002,,47.82,47.58
49,sensor3-sensor4,finger→wrist,9.99999999999801,,49.45,49.46
52,sensor3-sensor4,finger→wrist,79.9999999999983,,53.65,53.73
58,sensor3-sensor4,finger→wrist,149.99999999999858,,59.78,59.93
68,sensor3-sensor4,finger→wrist,140.00000000000057,,70.26,70.4
72,sensor3-sensor4,finger→wrist,79.9999999999983,,73.68,73.76
73,sensor3-sensor4,finger→wrist,30.000000000001137,,74.48,74.51
76,sensor3-sensor4,finger→wrist,90.00000000000341,,76.78,76.87
84,sensor3-sensor4,finger→wrist,-49.99999999999716,,83.78,83.73
89,sensor3-sensor4,finger→wrist,20.000000000010232,,90.21,90.23
90,sensor3-sensor4,finger→wrist,-120.00000000000455,,91.62,91.5
92,sensor3-sensor4,finger→wrist,80.0000000000125,,94.6,94.68
97,sensor3-sensor4,finger→wrist,49.99999999999716,,102.81,102.86
98,sensor3-sensor4,finger→wrist,79.9999999999983,,103.53,103.61
101,sensor3-sensor4,finger→wrist,40.00000000000625,,107.32,107.36
105,sensor3-sensor4,finger→wrist,219.99999999999886,,112.29,112.51
124,sensor3-sensor4,finger→wrist,-120.00000000000455,,130.86,130.74
126,sensor3-sensor4,finger→wrist,50.00000000001137,,132.04,132.09
135,sensor3-sensor4,finger→wrist,-109.99999999998522,,140.19,140.08
136,sensor3-sensor4,finger→wrist,-310.0000000000023,,141.96,141.65
139,sensor3-sensor4,finger→wrist,-50.00000000001137,,144.19,144.14
140,sensor3-sensor4,finger→wrist,-99.99999999999432,,145.25,145.15
141,sensor3-sensor4,finger→wrist,99.99999999999432,,146.18,146.28
146,sensor3-sensor4,finger→wrist,-40.000000000020464,,150.83,150.79
157,sensor3-sensor4,finger→wrist,9.999999999990905,,160.05,160.06
159,sensor3-sensor4,finger→wrist,39.99999999999204,,161.43,161.47
160,sensor3-sensor4,finger→wrist,20.000000000010232,,162.73,162.75
164,sensor3-sensor4,finger→wrist,60.000000000002274,,168.41,168.47
168,sensor3-sensor4,finger→wrist,19.99999999998181,,172.08,172.1
174,sensor3-sensor4,finger→wrist,-49.99999999998295,,177.17,177.12
178,sensor3-sensor4,finger→wrist,70.0000000000216,,181.42,181.49
180,sensor3-sensor4,finger→wrist,-229.99999999998977,,183.35,183.12
188,sensor3-sensor4,finger→wrist,180.00000000000682,,189.51,189.69
192,sensor3-sensor4,finger→wrist,-30.000000000001137,,192.38,192.35
196,sensor3-sensor4,finger→wrist,50.00000000001137,,196.16,196.21
198,sensor3-sensor4,finger→wrist,30.000000000001137,,197.83,197.86
