sensor,sensor_name,ibi_number,ibi_ms,hr_bpm,is_valid,quality
sensor2,nose,1,1223.9925981873207,49.01990427789953,False,excellent
sensor2,nose,2,1547.9906388839643,38.75992431275777,False,excellent
sensor2,nose,3,872.9947207659566,68.72893795664264,True,excellent
sensor2,nose,4,1214.9926526124143,49.38301467995803,False,excellent
sensor2,nose,5,1160.9929791629731,51.67989908367703,True,excellent
sensor2,nose,6,611.9962990936596,98.03980855579918,True,excellent
sensor2,nose,7,863.9947751910508,69.44486439369092,True,excellent
sensor2,nose,8,395.9976052958982,151.51606776805295,True,excellent
sensor2,nose,9,1403.991509685456,42.735301165348304,False,excellent
sensor2,nose,10,1376.9916729607346,43.57324824702184,False,excellent
sensor2,nose,11,890.9946119157705,67.34047456357912,True,excellent
sensor2,nose,12,413.99749644571136,144.92841264770297,True,excellent
sensor2,nose,13,917.9944486404903,65.35987237053271,True,excellent
sensor2,nose,14,629.9961902434745,95.23867116849041,True,excellent
sensor2,nose,15,953.9942309401183,62.893462092399346,True,excellent
sensor2,nose,16,341.99793184645523,175.43965741564145,True,excellent
sensor2,nose,17,1169.9929247378798,51.28236139841798,True,excellent
sensor2,nose,18,1079.993468988814,55.55589151495272,True,excellent
sensor2,nose,19,1664.989931357752,36.036253955645066,False,excellent
sensor2,nose,20,827.9949928914227,72.46420632385149,True,excellent
sensor2,nose,21,395.99760529590003,151.51606776805227,True,excellent
sensor2,nose,22,368.9977685711767,162.60260931205735,True,excellent
sensor2,nose,23,962.994176515025,62.30567272704983,True,excellent
sensor2,nose,24,1295.9921627865717,46.296576262460775,False,excellent
sensor2,nose,25,1484.991019859617,40.404284738147496,False,excellent
sensor2,nose,26,1142.99308801316,52.493755762160106,True,excellent
sensor2,nose,27,1601.990312333406,37.45341001008051,False,excellent
sensor2,nose,28,872.9947207659557,68.72893795664271,True,excellent
sensor2,nose,29,629.9961902434745,95.23867116849041,True,excellent
sensor2,nose,30,917.994448640492,65.3598723705326,True,excellent
sensor2,nose,31,827.9949928914227,72.46420632385149,True,excellent
sensor2,nose,32,944.9942853652083,63.49244744566052,True,excellent
sensor2,nose,33,485.9970610449693,123.45753669989416,True,excellent
sensor2,nose,34,494.9970066198688,121.21285421444334,True,excellent
sensor2,nose,35,1214.9926526124161,49.38301467995795,False,excellent
sensor2,nose,36,1538.9906933090601,38.98659053680892,False,excellent
sensor2,nose,37,890.9946119157653,67.34047456357952,True,excellent
sensor2,nose,38,395.99760529590355,151.5160677680509,True,excellent
sensor2,nose,39,1088.9934145637171,55.09675191565577,True,excellent
sensor2,nose,40,1511.9908565843332,39.68277965353782,False,excellent
sensor2,nose,41,1772.989278256638,33.84115219184934,False,excellent
sensor2,nose,42,1187.9928158876894,50.505355922684544,True,excellent
sensor2,nose,43,1268.9923260618557,47.28160979995979,False,excellent
sensor2,nose,44,404.997550870803,148.14904403987472,True,excellent
sensor2,nose,45,980.9940676648381,61.16244937425995,True,excellent
sensor2,nose,46,863.9947751910527,69.44486439369078,True,excellent
sensor2,nose,47,1673.9898769326587,35.842510654808265,False,excellent
sensor2,nose,48,1448.9912375599943,41.40811789934358,False,excellent
sensor2,nose,49,989.9940132397446,60.606427107221236,True,excellent
sensor2,nose,50,566.9965712191214,105.82074574276818,True,excellent
sensor2,nose,51,1160.9929791629768,51.679899083676865,True,excellent
sensor2,nose,52,1457.9911831348936,41.15251223329846,False,excellent
sensor2,nose,53,1124.9931968633505,53.33365585435448,True,excellent
sensor2,nose,54,1412.991455260361,42.46310179486844,False,excellent
sensor2,nose,55,1475.9910742847069,40.65065232801434,False,excellent
sensor2,nose,56,809.9951017416131,74.07452201993672,True,excellent
sensor2,nose,57,1286.9922172116687,46.62032854401631,False,excellent
sensor2,nose,58,1052.9936322640906,56.98040155379782,True,excellent
sensor2,nose,59,674.9959181180075,88.88942642392452,True,excellent
sensor2,nose,60,818.9950473165127,73.26051628345454,True,excellent
sensor2,nose,61,890.9946119157723,67.340474563579,True,excellent
sensor2,nose,62,755.9954282921738,79.36555930707489,True,excellent
sensor2,nose,63,377.9977141460762,158.73111861415427,True,excellent
sensor2,nose,64,1016.9938499644644,58.99740691853398,True,excellent
sensor2,nose,65,800.9951561667066,74.9068200201607,True,excellent
sensor2,nose,66,728.995591567454,82.30502446659611,True,excellent
sensor2,nose,67,809.995101741606,74.07452201993736,True,excellent
sensor2,nose,68,836.9949384663329,71.68502130961623,True,excellent
sensor2,nose,69,350.99787742136357,170.94120466139344,True,excellent
sensor2,nose,70,359.99782299626304,166.667674544862,True,excellent
sensor2,nose,71,1016.9938499644644,58.99740691853398,True,excellent
sensor2,nose,72,1511.9908565843475,39.682779653537445,False,excellent
sensor2,nose,73,944.9942853652118,63.492447445660275,True,excellent
sensor2,nose,74,665.9959725431008,90.09063488911266,True,excellent
sensor2,nose,75,413.9974964457025,144.92841264770607,True,excellent
sensor2,nose,76,611.9962990936614,98.03980855579888,True,excellent
sensor2,nose,77,746.9954827172671,80.32177086499144,True,excellent
sensor2,nose,78,1781.9892238315306,33.67023728178976,False,excellent
sensor2,nose,79,1412.991455260368,42.46310179486823,False,excellent
sensor2,nose,80,1304.992108361489,45.977289529615845,False,excellent
sensor2,nose,81,737.9955371423534,81.30130465602868,True,excellent
sensor2,nose,82,692.9958092678135,86.58061015317416,True,excellent
sensor2,nose,83,1205.9927070375097,49.751544640256135,False,excellent
sensor2,nose,84,1511.9908565843332,39.68277965353782,False,excellent
sensor2,nose,85,1160.9929791629838,51.67989908367655,True,excellent
sensor2,nose,86,1367.991727385828,43.859914353910135,False,excellent
sensor2,nose,87,1520.9908021592328,39.44797030647565,False,excellent
sensor2,nose,88,1340.9918906611153,44.742999877814114,False,excellent
sensor2,nose,89,1394.991564110555,43.011012785769736,False,excellent
sensor2,nose,90,1799.9891149813436,33.33353490897187,False,excellent
sensor2,nose,91,773.995319441994,77.51984862551436,True,excellent
