heartbeat_id,sensor2_peak_time_s,sensor3_peak_time_s,sensor4_peak_time_s
1,,1.8269889517060742,1.7909891694064473
2,,3.3119799715656915,3.320979917140598
3,4.157974855606928,4.292974039230529,
4,,4.6259720255020795,4.481972896303572
6,6.245962228985299,6.164962718811138,6.10196309978679
8,7.406955208148272,7.559954282921686,7.5959540652213136
10,9.27894388772888,9.350943452328133,
11,10.682935397414337,10.520936377066015,10.493936540341293
12,,11.249931968633463,11.249931968633463
15,12.950921682290842,12.824922444242148,12.806922553092333
17,,15.416906769815297,15.578905790163619
18,16.20890198040709,16.37990094633032,16.55089991225355
20,18.458888374133785,18.314889244935276,18.42288859183416
22,,20.528875856362344,20.456876291763088
23,22.67986284876506,22.68886279433997,
25,,24.614851147370015,24.55185152834567
26,,26.234841350853234,26.24384129642814
27,26.60383911942441,26.567839337124784,
28,,27.314834819842048,27.341834656566768
29,,28.511827581304647,28.655826710503156
30,30.62681479140774,30.69881435600699,30.50981549893395
31,31.45480978429916,31.26581092722612,31.45480978429916
32,32.88580113070934,32.87680118513443,32.93980080415878
33,34.595790789941624,34.61379068109144,
34,,35.21678703461019,35.25278681690982
35,,36.5577789252713,36.620778544295646
37,38.51076711502607,38.60976651635004,
38,,39.33876210791749,39.347762053492396
39,40.0227579716104,40.18475699195873,40.18475699195873
40,,41.03075187599996,41.120751331749034
41,41.79574724986704,41.62474828394381,
42,,42.74074153523225,42.82174104540641
43,44.65772994268739,44.50473086791398,44.513730813488884
44,,45.05372754798329,45.08072738470801
45,46.50271878554328,46.646717914741785,
46,,47.08771524791222,47.08771524791222
47,48.17670866247594,48.27570806379991,48.35670757397408
49,,51.452688851742,51.35368945041803
50,,52.72168117780386,52.676681449929326
51,53.80167464679267,53.80167464679267,53.936673830416275
52,,54.52167029278521,54.69266925870844
53,,55.736662945397626,55.538664142749674
54,,56.98765538030967,56.969655489159855
55,58.6256454749427,58.589645692643074,
56,,58.98564329793897,58.976643352364064
58,,60.38063486204952,60.40763469877424
59,60.96563132441846,60.94763143326865,
61,63.35061690176875,63.23361760929497,63.35961684734366
62,,64.71860862915459,64.70060873800477
63,66.30259905033817,66.30259905033817,66.38359856051234
64,67.03159464190563,67.03159464190563,67.05859447863034
65,,68.25558724009295,68.37258653256673
66,69.02958255953493,69.10158212413418,
67,70.40657423249566,70.23557526657244,70.11857597409865
68,,70.87457140239081,71.01857053158932
70,,72.4585618235744,72.55756122489838
74,75.30254462524495,75.41954391771873,75.34754435311947
75,,76.53553716900717,76.48153749555773
76,,78.05652797116642,78.1645273180653
78,,79.2355208414792,79.21752095032939
79,,80.33351420161783,80.33351420161783
80,81.2335087591085,81.18850903123398,81.21550886795869
82,82.43950146614601,82.45750135729583,82.34950201039695
83,,82.84449901701682,82.96149830949061
85,,84.32949003687644,84.38348971032588
86,85.11248530189333,85.13948513861804,85.2114847032173
88,,86.81347501555071,86.87647463457505
90,,88.56846440265753,88.76646320530547
91,,90.05345542251715,90.02645558579242
92,,91.25044818397974,91.24144823840483
93,92.5374404011914,92.51944051004159,92.57344018349103
