heartbeat_id,reference_sensor,reference_time,n_sensors,sensor2_time,sensor2_index,sensor3_time,sensor3_index,sensor4_time,sensor4_index,sensor5_time,sensor5_index
107,sensor3,1750838557.018414,4,1750838556.9823155,9290.0,1750838557.018414,9294,1750838557.0227308,9295.0,1750838556.9472184,9286.0
108,sensor3,1750838557.8822265,4,1750838557.8467145,9386.0,1750838557.8822265,9390,1750838557.913713,9393.0,1750838557.788518,9380.0
109,sensor3,1750838558.7056222,3,,,1750838558.7056222,9481,1750838558.7056222,9481.0,1750838558.6166089,9472.0
110,sensor3,1750838559.4988952,4,1750838559.4617176,9565.0,1750838559.4988952,9570,1750838559.5069208,9571.0,1750838559.4080248,9560.0
111,sensor3,1750838560.3260438,4,1750838560.2905562,9657.0,1750838560.3260438,9661,1750838560.3351583,9663.0,1750838560.2376733,9652.0
112,sensor3,1750838561.17189,4,1750838561.1357942,9752.0,1750838561.17189,9756,1750838561.1990287,9759.0,1750838561.099663,9748.0
113,sensor3,1750838561.993683,3,,,1750838561.993683,9847,1750838561.993683,9847.0,1750838561.9147046,9838.0
114,sensor3,1750838562.7740731,4,1750838562.7380068,9929.0,1750838562.7740731,9934,1750838562.8091328,9937.0,1750838562.71207,9927.0
115,sensor3,1750838563.575422,4,1750838563.54801,10020.0,1750838563.575422,10023,1750838563.6065395,10026.0,1750838563.4992793,10014.0
116,sensor3,1750838564.4032435,4,1750838564.3672566,10111.0,1750838564.4032435,10115,1750838564.4301038,10117.0,1750838564.3225756,10106.0
117,sensor3,1750838565.1956055,3,,,1750838565.1956055,10203,1750838565.1856077,10201.0,1750838565.114301,10193.0
118,sensor3,1750838565.9594717,4,1750838565.9239542,10284.0,1750838565.9594717,10288,1750838565.9954803,10292.0,1750838565.87909,10279.0
119,sensor3,1750838566.7791135,4,1750838566.7350123,10374.0,1750838566.7791135,10379,1750838566.8143194,10383.0,1750838566.707517,10371.0
120,sensor3,1750838567.6525168,4,1750838567.642532,10475.0,1750838567.6525168,10476,1750838567.6785166,10479.0,1750838567.5712774,10467.0
121,sensor3,1750838568.4677734,3,,,1750838568.4677734,10566,1750838568.4793725,10568.0,1750838568.3892803,10557.0
122,sensor3,1750838569.262379,4,1750838569.226508,10651.0,1750838569.262379,10655,1750838569.2896016,10657.0,1750838569.1815355,10645.0
123,sensor3,1750838570.09014,4,1750838570.0513754,10742.0,1750838570.09014,10747,1750838570.118134,10749.0,1750838570.0138133,10738.0
124,sensor3,1750838570.910246,4,1750838570.874246,10834.0,1750838570.910246,10837,1750838570.945793,10841.0,1750838570.8204231,10828.0
125,sensor3,1750838571.67436,4,1750838571.6298585,10917.0,1750838571.67436,10923,1750838571.67436,10923.0,1750838571.5984485,10914.0
126,sensor3,1750838572.4621549,4,1750838572.4324927,11007.0,1750838572.4621549,11010,1750838572.4660916,11011.0,1750838572.3865676,11002.0
127,sensor3,1750838573.2943769,4,1750838573.2583766,11099.0,1750838573.2943769,11103,1750838573.326512,11106.0,1750838573.2221098,11095.0
128,sensor3,1750838574.1231792,4,1750838574.0949142,11192.0,1750838574.1231792,11195,1750838574.1141803,11193.0,1750838574.04986,11187.0
129,sensor3,1750838574.906314,4,1750838574.8543165,11276.0,1750838574.906314,11281,1750838574.9237976,11284.0,1750838574.8155308,11272.0
130,sensor3,1750838575.734438,4,1750838575.6974218,11369.0,1750838575.734438,11373,1750838575.7516787,11376.0,1750838575.6621385,11365.0
131,sensor3,1750838576.6155274,4,1750838576.5620368,11466.0,1750838576.6155274,11472,1750838576.6155274,11472.0,1750838576.535387,11463.0
132,sensor3,1750838577.4613247,4,1750838577.4261358,11562.0,1750838577.4613247,11565,1750838577.4977982,11569.0,1750838577.3720162,11556.0
133,sensor3,1750838578.271221,4,1750838578.2263384,11651.0,1750838578.271221,11656,1750838578.2896483,11657.0,1750838578.1857123,11646.0
134,sensor3,1750838579.118444,4,1750838579.0861454,11746.0,1750838579.118444,11750,1750838579.1719203,11756.0,1750838579.049859,11742.0
135,sensor3,1750838580.0184407,4,1750838579.985825,11846.0,1750838580.0184407,11850,1750838580.0529945,11853.0,1750838579.945692,11841.0
136,sensor3,1750838580.845697,4,1750838580.8144417,11938.0,1750838580.845697,11942,1750838580.8542233,11943.0,1750838580.7779613,11934.0
137,sensor3,1750838581.673215,4,1750838581.6190326,12028.0,1750838581.673215,12033,1750838581.7093835,12037.0,1750838581.6010177,12025.0
138,sensor3,1750838582.537917,4,1750838582.5014637,12125.0,1750838582.537917,12129,1750838582.5023613,12126.0,1750838582.4479256,12120.0
139,sensor3,1750838583.4024522,4,1750838583.3477333,12220.0,1750838583.4024522,12225,1750838583.4024522,12225.0,1750838583.329733,12217.0
140,sensor3,1750838584.1992912,4,1750838584.1598258,12310.0,1750838584.1992912,12314,1750838584.2337966,12318.0,1750838584.126089,12306.0
141,sensor3,1750838585.0309207,4,1750838584.9946988,12403.0,1750838585.0309207,12407,1750838585.0928023,12413.0,1750838584.9541018,12398.0
142,sensor3,1750838585.8942454,4,1750838585.859105,12499.0,1750838585.8942454,12503,1750838585.9302847,12507.0,1750838585.813493,12494.0
143,sensor3,1750838586.7583776,4,1750838586.7217956,12595.0,1750838586.7583776,12599,1750838586.7940516,12603.0,1750838586.6963236,12592.0
144,sensor3,1750838587.5777924,4,1750838587.523014,12684.0,1750838587.5777924,12689,1750838587.6139538,12693.0,1750838587.4874537,12680.0
145,sensor3,1750838588.4100745,4,1750838588.371332,12777.0,1750838588.4100745,12782,1750838588.446573,12786.0,1750838588.3330612,12773.0
146,sensor3,1750838589.273921,4,1750838589.214672,12872.0,1750838589.273921,12878,1750838589.3139925,12883.0,1750838589.2017262,12870.0
147,sensor3,1750838590.141498,4,1750838590.0977116,12970.0,1750838590.141498,12975,1750838590.1737907,12978.0,1750838590.0657744,12966.0
148,sensor3,1750838590.9334395,4,1750838590.8990953,13059.0,1750838590.9334395,13063,1750838590.9630723,13065.0,1750838590.8577876,13054.0
149,sensor3,1750838591.7537515,4,1750838591.717316,13149.0,1750838591.7537515,13153,1750838591.7939434,13158.0,1750838591.6813114,13145.0
150,sensor3,1750838592.5988038,4,1750838592.5626943,13244.0,1750838592.5988038,13248,1750838592.654105,13254.0,1750838592.5175183,13239.0
151,sensor3,1750838593.4861257,4,1750838593.446546,13342.0,1750838593.4861257,13346,1750838593.4861257,13346.0,1750838593.4101238,13337.0
152,sensor3,1750838594.2823966,4,1750838594.2555444,13432.0,1750838594.2823966,13435,1750838594.3462634,13442.0,1750838594.2103355,13427.0
153,sensor3,1750838595.1413496,3,1750838595.1002553,13525.0,1750838595.1413496,13530,,,1750838595.047138,13520.0
154,sensor3,1750838596.0383282,4,1750838595.9833102,13624.0,1750838596.0383282,13629,1750838596.039326,13630.0,1750838595.9652474,13621.0
155,sensor3,1750838596.9016204,4,1750838596.8471074,13720.0,1750838596.9016204,13725,1750838596.9364946,13729.0,1750838596.82904,13717.0
156,sensor3,1750838597.6978838,4,1750838597.6577,13809.0,1750838597.6978838,13814,1750838597.6978838,13814.0,1750838597.6207,13805.0
157,sensor3,1750838598.5394452,4,1750838598.4941978,13903.0,1750838598.5394452,13908,1750838598.575435,13912.0,1750838598.4670105,13900.0
158,sensor3,1750838599.4585412,4,1750838599.393535,14003.0,1750838599.4585412,14009,1750838599.4998398,14014.0,1750838599.384517,14001.0
159,sensor3,1750838600.325944,4,1750838600.2860389,14102.0,1750838600.325944,14106,1750838600.3931208,14113.0,1750838600.253961,14098.0
160,sensor3,1750838601.131018,2,,,1750838601.131018,14196,,,1750838601.0773766,14189.0
161,sensor3,1750838601.9791422,4,1750838601.942097,14286.0,1750838601.9791422,14289,1750838602.0171945,14294.0,1750838601.9057894,14281.0
162,sensor3,1750838602.8495748,4,1750838602.787459,14380.0,1750838602.8495748,14387,1750838602.8405862,14385.0,1750838602.7779083,14379.0
163,sensor3,1750838603.6735983,4,1750838603.6008706,14470.0,1750838603.6735983,14478,1750838603.686242,14480.0,1750838603.596718,14469.0
164,sensor3,1750838604.802591,2,,,1750838604.802591,14604,,,1750838604.6948357,14592.0
165,sensor3,1750838605.297056,4,1750838605.145185,14642.0,1750838605.297056,14659,1750838605.1094558,14637.0,1750838605.2359395,14652.0
166,sensor3,1750838606.125526,4,1750838606.11751,14749.0,1750838606.125526,14751,1750838606.1933117,14758.0,1750838606.0181212,14739.0
167,sensor3,1750838606.9898424,2,,,1750838606.9898424,14847,1750838607.0215578,14850.0,,
168,sensor3,1750838607.853889,4,1750838607.853889,14943.0,1750838607.853889,14943,1750838607.916485,14949.0,1750838607.55676,14909.0
169,sensor3,1750838608.6463425,3,,,1750838608.6463425,15031,1750838608.654703,15032.0,1750838608.641344,15030.0
170,sensor3,1750838609.4653864,3,1750838609.4019277,15115.0,1750838609.4653864,15122,1750838609.473425,15123.0,,
171,sensor3,1750838610.2659824,4,1750838610.2253966,15206.0,1750838610.2659824,15211,1750838610.2659824,15211.0,1750838610.2253966,15206.0
172,sensor3,1750838611.0216565,3,1750838610.9869325,15291.0,1750838611.0216565,15295,1750838611.0570023,15299.0,,
173,sensor3,1750838611.823095,4,1750838611.7779336,15379.0,1750838611.823095,15384,1750838611.859391,15388.0,1750838611.7509484,15376.0
174,sensor3,1750838612.637214,4,1750838612.597079,15469.0,1750838612.637214,15474,1750838612.6698184,15478.0,1750838612.5429137,15464.0
175,sensor3,1750838613.4656336,4,1750838613.4240816,15561.0,1750838613.4656336,15566,1750838613.5016065,15570.0,1750838613.3885498,15557.0
176,sensor3,1750838614.2253785,4,1750838614.1805751,15645.0,1750838614.2253785,15651,1750838614.2253785,15651.0,1750838614.163573,15644.0
177,sensor3,1750838615.0161266,4,1750838614.9732924,15733.0,1750838615.0161266,15739,1750838615.0448413,15741.0,1750838614.9462929,15731.0
178,sensor3,1750838615.836367,4,1750838615.7839627,15824.0,1750838615.836367,15829,1750838615.8543804,15832.0,1750838615.7469752,15820.0
179,sensor3,1750838616.683185,4,1750838616.6460917,15920.0,1750838616.683185,15924,1750838616.673187,15923.0,1750838616.6109264,15916.0
180,sensor3,1750838617.501413,4,1750838617.456205,16009.0,1750838617.501413,16015,1750838617.497406,16014.0,1750838617.4290292,16007.0
181,sensor3,1750838618.3655758,4,1750838618.329357,16107.0,1750838618.3655758,16111,1750838618.4025986,16115.0,1750838618.2938962,16103.0
182,sensor3,1750838619.2611413,4,1750838619.2250204,16206.0,1750838619.2611413,16210,1750838619.309759,16216.0,1750838619.1949692,16203.0
183,sensor3,1750838620.1974826,4,1750838620.13919,16308.0,1750838620.1974826,16314,1750838620.2287269,16318.0,1750838620.125195,16306.0
184,sensor3,1750838621.0563529,4,1750838621.025185,16406.0,1750838621.0563529,16409,1750838621.0753205,16412.0,1750838620.966186,16400.0
185,sensor3,1750838621.8936138,4,1750838621.8532434,16498.0,1750838621.8936138,16503,1750838621.9257812,16506.0,1750838621.8219082,16495.0
186,sensor3,1750838622.7850788,4,1750838622.748763,16597.0,1750838622.7850788,16601,1750838622.8213007,16605.0,1750838622.6947107,16592.0
187,sensor3,1750838623.6889455,4,1750838623.6494443,16697.0,1750838623.6889455,16702,1750838623.724584,16706.0,1750838623.6124165,16693.0
188,sensor3,1750838624.521468,4,1750838624.4769187,16790.0,1750838624.521468,16795,1750838624.521468,16795.0,1750838624.441731,16785.0
189,sensor3,1750838625.359487,4,1750838625.3222828,16884.0,1750838625.359487,16888,1750838625.394919,16892.0,1750838625.2776415,16879.0
190,sensor3,1750838626.257949,4,1750838626.1864412,16980.0,1750838626.257949,16988,1750838626.2814546,16990.0,1750838626.1773465,16979.0
191,sensor3,1750838627.1406264,3,1750838627.1141765,17083.0,1750838627.1406264,17086,,,1750838627.0693166,17078.0
192,sensor3,1750838628.114654,4,1750838628.3104906,17216.0,1750838628.114654,17194,1750838628.080969,17190.0,1750838627.943049,17175.0
193,sensor3,1750838629.6776972,4,1750838629.6694474,17367.0,1750838629.6776972,17368,1750838629.733486,17374.0,1750838629.6422932,17364.0
194,sensor3,1750838630.533972,3,,,1750838630.533972,17463,1750838630.5244453,17461.0,1750838630.4525366,17453.0
195,sensor3,1750838631.2864852,4,1750838631.244969,17542.0,1750838631.2864852,17546,1750838631.317173,17549.0,1750838631.2172484,17539.0
196,sensor3,1750838632.0818863,4,1750838632.045375,17631.0,1750838632.0818863,17635,1750838632.1264822,17640.0,1750838632.045375,17631.0
197,sensor3,1750838632.9365394,4,1750838632.901832,17725.0,1750838632.9365394,17730,1750838632.990527,17736.0,1750838632.8686774,17722.0
198,sensor3,1750838633.7294874,4,1750838633.6655693,17811.0,1750838633.7294874,17817,1750838633.710162,17816.0,1750838633.980407,17845.0
199,sensor3,1750838634.4938712,4,1750838634.4493077,17898.0,1750838634.4938712,17903,1750838634.5384033,17908.0,1750838634.429636,17896.0
200,sensor3,1750838635.2863626,4,1750838635.2517312,17987.0,1750838635.2863626,17991,1750838635.3122203,17994.0,1750838635.2130828,17983.0
201,sensor3,1750838636.1047094,4,1750838636.068879,18077.0,1750838636.1047094,18082,1750838636.1404183,18086.0,1750838636.0326295,18073.0
202,sensor3,1750838636.8699613,4,1750838636.8332791,18163.0,1750838636.8699613,18167,1750838636.89595,18169.0,1750838636.79718,18159.0
