peak_number,peak_index,peak_time,ibi_ms,is_valid_ibi
1,39,1750838473.7210362,,False
2,136,1750838474.5935514,872.5152015686035,True
3,233,1750838475.4751472,881.5958499908447,True
4,330,1750838476.3439193,868.772029876709,True
5,420,1750838477.1493564,805.4370880126953,True
6,608,1750838478.8410487,1691.6923522949219,False
7,782,1750838480.4122367,1571.187973022461,False
8,950,1750838481.9242148,1511.9781494140625,False
9,1037,1750838482.7114017,787.186861038208,True
10,1125,1750838483.504899,793.4973239898682,True
11,1291,1750838484.9891117,1484.2126369476318,False
12,1371,1750838485.7087083,719.5966243743896,True
13,1448,1750838486.4020295,693.3212280273438,True
14,1529,1750838487.1390724,737.0429039001465,True
15,1610,1750838487.8640304,724.9579429626465,True
16,1691,1750838488.5881803,724.1499423980713,True
17,1778,1750838489.3757863,787.6060009002686,True
18,1862,1750838490.1282594,752.4731159210205,True
19,1952,1750838490.9373524,809.0929985046387,True
20,2029,1750838491.638767,701.4145851135254,True
21,2119,1750838492.439894,801.1269569396973,True
22,2209,1750838493.2593985,819.5044994354248,True
23,2293,1750838494.0147817,755.3832530975342,True
24,2377,1750838494.7711236,756.3419342041016,True
25,2471,1750838495.608145,837.0213508605957,True
26,2555,1750838496.3641448,755.9998035430908,True
27,2638,1750838497.115726,751.5811920166016,True
28,2728,1750838497.920772,805.0460815429688,True
29,2823,1750838498.7766569,855.8847904205322,True
30,2908,1750838499.5413074,764.6505832672119,True
31,2950,1750838499.9235692,382.2617530822754,True
32,2996,1750838500.3329694,409.40022468566895,True
33,3143,1750838501.6566336,1323.6641883850098,False
34,3263,1750838502.736614,1079.9803733825684,True
35,3347,1750838503.492912,756.2980651855469,True
36,3430,1750838504.2406118,747.6997375488281,True
37,3519,1750838505.0408363,800.2245426177979,True
38,3605,1750838505.823583,782.7465534210205,True
39,3688,1750838506.5611737,737.5907897949219,True
40,3773,1750838507.334875,773.7014293670654,True
41,3860,1750838508.1094563,774.5811939239502,True
42,3949,1750838508.9188683,809.4120025634766,True
43,4029,1750838509.638354,719.4857597351074,True
44,4116,1750838510.41312,774.7659683227539,True
45,4204,1750838511.2050073,791.8872833251953,True
46,4292,1750838511.9967556,791.7482852935791,True
47,4375,1750838512.7440114,747.255802154541,True
48,4457,1750838513.4908752,746.863842010498,True
49,4543,1750838514.2558177,764.9424076080322,True
50,4626,1750838515.0037606,747.9429244995117,True
51,4709,1750838515.759065,755.3043365478516,True
52,4786,1750838516.447732,688.6670589447021,True
53,4868,1750838517.180317,732.5849533081055,True
54,4950,1750838517.9195752,739.2582893371582,True
55,5112,1750838519.3769386,1457.3633670806885,False
56,5199,1750838520.1604002,783.4615707397461,True
57,5287,1750838520.9539886,793.588399887085,True
58,5379,1750838521.7796493,825.6607055664062,True
59,5465,1750838522.5619466,782.2973728179932,True
60,5549,1750838523.3190937,757.1470737457275,True
61,5638,1750838524.111858,792.7641868591309,True
62,5727,1750838524.9122128,800.3549575805664,True
63,5815,1750838525.7039227,791.7098999023438,True
64,5895,1750838526.4239087,719.9859619140625,True
65,5980,1750838527.1882584,764.3496990203857,True
66,6067,1750838527.971621,783.362627029419,True
