peak_number,peak_index,peak_time,ibi_ms,is_valid_ibi
1,35,1750838473.685361,,False
2,130,1750838474.5403807,855.0198078155518,True
3,229,1750838475.4390662,898.6854553222656,True
4,325,1750838476.304086,865.0197982788086,True
5,416,1750838477.1143725,810.2865219116211,True
6,508,1750838477.941289,826.9164562225342,True
7,604,1750838478.8056178,864.3288612365723,True
8,666,1750838479.3680196,562.4017715454102,True
9,755,1750838480.1649947,796.9751358032227,True
10,862,1750838481.1286197,963.6249542236328,True
11,943,1750838481.8558652,727.245569229126,True
12,1035,1750838482.684853,828.9878368377686,True
13,1201,1750838484.1864493,1501.596212387085,False
14,1269,1750838484.7997682,613.318920135498,True
15,1366,1750838485.668152,868.3838844299316,True
16,1447,1750838486.3919013,723.7491607666016,True
17,1529,1750838487.1390724,747.17116355896,True
18,1606,1750838487.8248734,685.8010292053223,True
19,1689,1750838488.580129,755.2554607391357,True
20,1772,1750838489.316945,736.8161678314209,True
21,1859,1750838490.1002288,783.2837104797363,True
22,1944,1750838490.8653738,765.1450634002686,True
23,2034,1750838491.6760027,810.6288909912109,True
24,2118,1750838492.4356425,759.6397399902344,True
25,2200,1750838493.1692362,733.5937023162842,True
26,2262,1750838493.731876,562.6397132873535,True
27,2379,1750838494.7800963,1048.2203960418701,True
28,2467,1750838495.5724554,792.3591136932373,True
29,2634,1750838497.0765653,1504.1098594665527,False
30,2727,1750838497.9130726,836.5073204040527,True
31,2819,1750838498.740651,827.5783061981201,True
32,2883,1750838499.3157184,575.0675201416016,True
33,2991,1750838500.290636,974.9176502227783,True
34,3077,1750838501.071807,781.1708450317383,True
35,3147,1750838501.6916337,619.8267936706543,True
36,3239,1750838502.5197892,828.155517578125,True
37,3294,1750838503.0194063,499.6170997619629,True
38,3342,1750838503.448188,428.78174781799316,True
39,3427,1750838504.2122438,764.0557289123535,True
40,3516,1750838505.013081,800.8372783660889,True
41,3601,1750838505.7880094,774.9283313751221,True
42,3685,1750838506.5429137,754.9042701721191,True
43,3768,1750838507.2812054,738.2917404174805,True
44,3857,1750838508.0914545,810.2490901947021,True
45,3944,1750838508.8660398,774.5852470397949,True
46,4029,1750838509.638354,772.3143100738525,True
47,4113,1750838510.3940537,755.699634552002,True
48,4199,1750838511.1596985,765.6447887420654,True
49,4288,1750838511.961482,801.783561706543,True
50,4371,1750838512.7083423,746.8602657318115,True
51,4455,1750838513.463765,755.4225921630859,True
52,4538,1750838514.2115738,747.8089332580566,True
53,4622,1750838514.9675572,755.9833526611328,True
54,4703,1750838515.6966286,729.0713787078857,True
55,4783,1750838516.4155877,718.9590930938721,True
56,4863,1750838517.1358955,720.3078269958496,True
57,4947,1750838517.8915756,755.6800842285156,True
58,5030,1750838518.6425514,750.9758472442627,True
59,5110,1750838519.3599195,717.3681259155273,True
60,5195,1750838520.12369,763.770341873169,True
61,5282,1750838520.9081006,784.4107151031494,True
62,5374,1750838521.7396126,831.5119743347168,True
63,5459,1750838522.5000105,760.3979110717773,True
64,5545,1750838523.2832222,783.2117080688477,True
65,5634,1750838524.079281,796.0588932037354,True
66,5722,1750838524.8712316,791.9504642486572,True
67,5811,1750838525.6672027,795.971155166626,True
68,5892,1750838526.3963838,729.1810512542725,True
69,5976,1750838527.152604,756.2203407287598,True
70,6062,1750838527.9310985,778.4943580627441,True
71,6149,1750838528.718657,787.5585556030273,True
72,6233,1750838529.4739497,755.2926540374756,True
73,6314,1750838530.1993318,725.3820896148682,True
74,6397,1750838530.9506738,751.3420581817627,True
75,6480,1750838531.6881056,737.4317646026611,True
76,6565,1750838532.4629934,774.8878002166748,True
77,6647,1750838533.1908755,727.8821468353271,True
78,6731,1750838533.947899,757.0235729217529,True
79,6820,1750838534.748362,800.4629611968994,True
80,6913,1750838535.5945203,846.1582660675049,True
81,6999,1750838536.3598487,765.3284072875977,True
82,7089,1750838537.1785097,818.6609745025635,True
83,7182,1750838538.011004,832.4942588806152,True
84,7274,1750838538.8387833,827.7792930603027,True
85,7361,1750838539.626181,787.3976230621338,True
86,7452,1750838540.4369154,810.7345104217529,True
