sensor_pair,sensor_names,from_sensor,to_sensor,from_name,to_name,n_heartbeats,mean_ptt_ms,std_ptt_ms,median_ptt_ms,min_ptt_ms,max_ptt_ms,correlation
sensor2-sensor3,Nose-Finger,sensor2,sensor3,Nose,Finger,578,41.159423989820645,71.41268217325292,44.85201835632324,-292.3564910888672,296.7262268066406,0.9999999182318433
sensor2-sensor4,Nose-Wrist,sensor2,sensor4,Nose,Wrist,557,62.37537514157526,76.93292813359746,67.1694278717041,-490.88120460510254,401.3409614562988,0.999999906527264
sensor2-sensor5,Nose-Ear,sensor2,sensor5,Nose,Ear,556,-35.46199567026372,76.8807785503848,-35.6675386428833,-468.2450294494629,430.22894859313965,0.9999999047006484
sensor3-sensor4,Finger-Wrist,sensor3,sensor4,Finger,Wrist,619,19.222453645820185,58.374543379101,17.998695373535156,-296.22817039489746,288.130521774292,0.9999999462409045
sensor3-sensor5,Finger-Ear,sensor3,sensor5,Finger,Ear,621,-72.2552244214044,71.9062109387058,-79.6976089477539,-297.12891578674316,297.52039909362793,0.9999999174055002
sensor4-sensor5,Wrist-Ear,sensor4,sensor5,Wrist,Ear,587,-96.17851580631185,71.85022780461867,-103.0571460723877,-432.2822093963623,414.06702995300293,0.9999999182730258
