heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor3_time_s,sensor4_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms,sensor5_time_s
0,5,sensor3-sensor4,finger→wrist,89.99537026951998,25.567684693570364,25.657680063839884,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
1,5,sensor3-sensor4,finger→wrist,116.99398135037242,26.116656452214432,26.233650433564804,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
2,5,sensor3-sensor4,finger→wrist,26.998611080855994,26.72862497004716,26.755623581128017,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
3,5,sensor3-sensor4,finger→wrist,89.99537026951643,27.23259904355647,27.322594413825986,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
4,5,sensor3-sensor4,finger→wrist,80.99583324256798,27.772571265173582,27.85356709841615,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
5,5,sensor3-sensor4,finger→wrist,71.99629621561598,28.33954209787155,28.411538394087167,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
6,5,sensor3-sensor4,finger→wrist,53.997222161708436,28.951510615704283,29.00550783786599,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
7,5,sensor3-sensor4,finger→wrist,62.99675918866399,29.500482374348348,29.56347913353701,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
8,5,sensor3-sensor4,finger→wrist,53.997222161708436,30.076452744073272,30.13044996623498,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
9,5,sensor3-sensor4,finger→wrist,80.99583324256798,30.652423113798193,30.73341894704076,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
10,5,sensor3-sensor4,finger→wrist,35.99814810780799,31.30038977973873,31.336387927846538,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
11,5,sensor3-sensor4,finger→wrist,53.99722216171199,31.8673606124367,31.92135783459841,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
12,5,sensor3-sensor4,finger→wrist,35.99814810780799,32.46133005621552,32.49732820432333,24.97371524979154,44.97068652367868,sensor3,617.1940554612825,
