heartbeat_id,window_id,reference_sensor,window_start_s,window_end_s,sensor3_peak_time_s,sensor3_peak_idx,sensor4_peak_time_s,sensor4_peak_idx,sensor5_peak_time_s,sensor5_peak_idx
0,5,sensor3,24.97371524979154,44.97068652367868,25.567684693570364,2841.0,25.657680063839884,2851,,
1,5,sensor3,24.97371524979154,44.97068652367868,26.116656452214432,2902.0,26.233650433564804,2915,,
2,5,sensor3,24.97371524979154,44.97068652367868,26.72862497004716,2970.0,26.755623581128017,2973,,
3,5,sensor3,24.97371524979154,44.97068652367868,27.23259904355647,3026.0,27.322594413825986,3036,,
4,5,sensor3,24.97371524979154,44.97068652367868,27.772571265173582,3086.0,27.85356709841615,3095,,
5,5,sensor3,24.97371524979154,44.97068652367868,28.33954209787155,3149.0,28.411538394087167,3157,,
6,5,sensor3,24.97371524979154,44.97068652367868,28.951510615704283,3217.0,29.00550783786599,3223,,
7,5,sensor3,24.97371524979154,44.97068652367868,29.500482374348348,3278.0,29.56347913353701,3285,,
8,5,sensor3,24.97371524979154,44.97068652367868,30.076452744073272,3342.0,30.13044996623498,3348,,
9,5,sensor3,24.97371524979154,44.97068652367868,30.652423113798193,3406.0,30.73341894704076,3415,,
10,5,sensor3,24.97371524979154,44.97068652367868,31.30038977973873,3478.0,31.336387927846538,3482,,
11,5,sensor3,24.97371524979154,44.97068652367868,31.8673606124367,3541.0,31.92135783459841,3547,,
12,5,sensor3,24.97371524979154,44.97068652367868,32.46133005621552,3607.0,32.49732820432333,3611,,
13,5,sensor3,24.97371524979154,44.97068652367868,33.091297648102156,3677.0,33.136295333236916,3682,,
14,5,sensor3,24.97371524979154,44.97068652367868,33.73026477701575,3748.0,33.78426199917746,3754,,
15,5,sensor3,24.97371524979154,44.97068652367868,34.33323375782152,3815.0,34.39623051701018,3822,,
16,5,sensor3,24.97371524979154,44.97068652367868,34.92720320160035,3881.0,34.98120042376206,3887,,
17,5,sensor3,24.97371524979154,44.97068652367868,35.566170330513934,3952.0,35.59316894159479,3955,,
18,5,sensor3,24.97371524979154,44.97068652367868,36.30413236672399,4034.0,36.34913005185875,4039,,
19,5,sensor3,24.97371524979154,44.97068652367868,36.97009810671843,4108.0,37.00609625482624,4112,,
20,5,sensor3,24.97371524979154,44.97068652367868,37.609065235632016,4179.0,37.645063383739824,4183,,
21,5,sensor3,24.97371524979154,44.97068652367868,38.23903282751865,4249.0,38.28403051265341,4254,,
22,5,sensor3,24.97371524979154,44.97068652367868,38.89599903048614,4322.0,38.922997641566994,4325,,
23,5,sensor3,24.97371524979154,44.97068652367868,39.51696708534582,4391.0,39.53496615939972,4393,,
24,5,sensor3,24.97371524979154,44.97068652367868,40.119936066151595,4458.0,40.1559342142594,4462,,
