sensor_pair,sensor_names,valid_heartbeats,mean_ptt_ms,std_ptt_ms,min_ptt_ms,max_ptt_ms,median_ptt_ms,q25_ptt_ms,q75_ptt_ms
sensor2-sensor3,nose→finger,86,5.54613872676378,125.89558298176092,-287.98063728407897,251.98305762354778,17.998789830254047,-89.99394915127556,114.74228516786411
sensor2-sensor4,nose→wrist,72,25.49828559285785,115.18014571628672,-215.985477963045,233.98426779329284,53.99636949076125,-74.2450080497976,116.99213389664465
sensor2-sensor5,nose→ear,171,-21.314356377931997,52.38375302068807,-188.9872932176786,170.9885033874059,-17.998789830258488,-44.996974575639115,8.999394915122139
sensor3-sensor4,finger→wrist,33,8.999394915126928,181.91382771646957,-341.9770067748118,377.97458643531456,-8.999394915122139,-125.99152881177389,170.9885033874059
sensor3-sensor5,finger→ear,91,-25.020295753043982,113.48826455581269,-188.98729321765728,197.98668813278653,-53.99636949076125,-121.4918313542106,80.99455423615609
sensor4-sensor5,wrist→ear,77,-40.32196423011265,107.07929797128709,-197.98668813278653,197.98668813277231,-53.99636949076125,-125.99152881177389,35.997579660516976
