heartbeat_id,sensor_pair,sensor_names,ptt_ms,sensor2_time_s,sensor3_time_s,sensor5_time_s
1,sensor2-sensor3,nose→finger,110.0000000000001,1.15,1.26,
2,sensor2-sensor3,nose→finger,90.00000000000009,1.66,1.75,
4,sensor2-sensor3,nose→finger,-139.9999999999997,3.05,2.91,
7,sensor2-sensor3,nose→finger,-149.99999999999946,5.84,5.69,
8,sensor2-sensor3,nose→finger,80.00000000000007,6.9,6.98,
9,sensor2-sensor3,nose→finger,119.99999999999922,7.92,8.04,
11,sensor2-sensor3,nose→finger,130.0000000000008,9.84,9.97,
13,sensor2-sensor3,nose→finger,19.999999999999574,10.84,10.86,
15,sensor2-sensor3,nose→finger,-109.99999999999943,12.76,12.65,
18,sensor2-sensor3,nose→finger,40.000000000000924,15.78,15.82,
19,sensor2-sensor3,nose→finger,160.00000000000014,16.73,16.89,
20,sensor2-sensor3,nose→finger,80.00000000000185,17.65,17.73,
21,sensor2-sensor3,nose→finger,29.999999999997584,18.69,18.72,
23,sensor2-sensor3,nose→finger,170.0000000000017,19.52,19.69,
25,sensor2-sensor3,nose→finger,60.000000000002274,21.47,21.53,
26,sensor2-sensor3,nose→finger,-49.99999999999716,22.15,22.1,
27,sensor2-sensor3,nose→finger,-149.99999999999858,23.45,23.3,
28,sensor2-sensor3,nose→finger,169.99999999999815,24.39,24.56,
30,sensor2-sensor3,nose→finger,109.99999999999943,26.41,26.52,
32,sensor2-sensor3,nose→finger,190.00000000000128,28.29,28.48,
33,sensor2-sensor3,nose→finger,60.000000000002274,29.33,29.39,
34,sensor2-sensor3,nose→finger,149.99999999999858,30.37,30.52,
35,sensor2-sensor3,nose→finger,70.00000000000028,31.3,31.37,
37,sensor2-sensor3,nose→finger,90.00000000000341,33.26,33.35,
41,sensor2-sensor3,nose→finger,70.00000000000028,36.29,36.36,
42,sensor2-sensor3,nose→finger,109.99999999999943,37.31,37.42,
45,sensor2-sensor3,nose→finger,-70.00000000000028,40.31,40.24,
46,sensor2-sensor3,nose→finger,109.99999999999943,41.35,41.46,
48,sensor2-sensor3,nose→finger,179.99999999999972,43.25,43.43,
51,sensor2-sensor3,nose→finger,-109.99999999999943,46.21,46.1,
52,sensor2-sensor3,nose→finger,-129.99999999999545,47.15,47.02,
56,sensor2-sensor3,nose→finger,-160.0000000000037,50.81,50.65,
58,sensor2-sensor3,nose→finger,199.99999999999574,52.67,52.87,
60,sensor2-sensor3,nose→finger,10.000000000005116,54.69,54.7,
62,sensor2-sensor3,nose→finger,-70.00000000000028,56.92,56.85,
64,sensor2-sensor3,nose→finger,-20.000000000003126,58.84,58.82,
70,sensor2-sensor3,nose→finger,40.00000000000625,64.0,64.04,
71,sensor2-sensor3,nose→finger,-150.00000000000568,65.23,65.08,
72,sensor2-sensor3,nose→finger,-19.99999999999602,66.03,66.01,
73,sensor2-sensor3,nose→finger,140.00000000000057,67.35,67.49,
75,sensor2-sensor3,nose→finger,89.9999999999892,69.73,69.82,
76,sensor2-sensor3,nose→finger,99.99999999999432,70.73,70.83,
77,sensor2-sensor3,nose→finger,-79.9999999999983,71.78,71.7,
78,sensor2-sensor3,nose→finger,40.00000000000625,72.94,72.98,
81,sensor2-sensor3,nose→finger,140.00000000000057,77.29,77.43,
87,sensor2-sensor3,nose→finger,60.000000000002274,84.64,84.7,
89,sensor2-sensor3,nose→finger,99.99999999999432,85.53,85.63,
90,sensor2-sensor3,nose→finger,119.99999999999034,86.59,86.71,
92,sensor2-sensor3,nose→finger,-69.99999999999318,88.94,88.87,
95,sensor2-sensor3,nose→finger,-199.99999999998863,92.35,92.15,
97,sensor2-sensor3,nose→finger,90.00000000000341,94.38,94.47,
98,sensor2-sensor3,nose→finger,0.0,95.46,95.46,
103,sensor2-sensor3,nose→finger,89.9999999999892,100.62,100.71,
109,sensor2-sensor3,nose→finger,129.99999999999545,107.04,107.17,
112,sensor2-sensor3,nose→finger,60.000000000002274,110.32,110.38,
114,sensor2-sensor3,nose→finger,-109.99999999999943,112.37,112.26,
115,sensor2-sensor3,nose→finger,110.00000000001364,113.57,113.68,
116,sensor2-sensor3,nose→finger,170.0000000000017,114.11,114.28,
118,sensor2-sensor3,nose→finger,-140.00000000000057,115.72,115.58,
119,sensor2-sensor3,nose→finger,-119.99999999999034,116.66,116.54,
120,sensor2-sensor3,nose→finger,-19.99999999999602,117.69,117.67,
121,sensor2-sensor3,nose→finger,-120.00000000000455,118.81,118.69,
122,sensor2-sensor3,nose→finger,169.9999999999875,119.79,119.96,
128,sensor2-sensor3,nose→finger,-9.999999999990905,125.24,125.23,
130,sensor2-sensor3,nose→finger,0.0,126.35,126.35,
133,sensor2-sensor3,nose→finger,-30.000000000001137,129.53,129.5,
