sensor_pair,sensor_names,valid_heartbeats,mean_ptt_ms,std_ptt_ms,min_ptt_ms,max_ptt_ms,median_ptt_ms,q25_ptt_ms,q75_ptt_ms
sensor2-sensor4,nose→wrist,31,80.41831212085502,108.88852196430064,-107.9985996713333,260.996615872382,53.99929983566665,-3.552713678800501e-12,188.99754942482616
sensor2-sensor5,nose→ear,55,-12.436202386395852,112.66357185557443,-197.99743273077297,197.99743273077297,-17.99976661187941,-94.49877471241663,89.99883305944323
sensor4-sensor5,wrist→ear,79,-100.70755496778041,44.73836788819409,-188.99754942482616,116.9984829772801,-107.99859967133152,-125.99836628321803,-89.99883305943968
