sensor,sensor_name,peak_number,peak_index,peak_time_s,quality
sensor2,nose,1,128,1.151985063160857,good
sensor2,nose,2,255,2.29497024301577,good
sensor2,nose,3,444,3.9959481878392227,good
sensor2,nose,4,571,5.138933367694135,good
sensor2,nose,5,743,6.686913296316537,good
sensor2,nose,6,908,8.17189404179733,good
sensor2,nose,7,996,8.963883772720418,good
sensor2,nose,8,1192,10.727860900685481,good
sensor2,nose,9,1281,11.528850514914515,good
sensor2,nose,10,1367,12.302840479225715,good
sensor2,nose,11,1537,13.832820641236228,good
sensor2,nose,12,1627,14.642810138771207,good
sensor2,nose,13,1767,15.902793801603394,good
sensor2,nose,14,1930,17.369774780472298,good
sensor2,nose,15,2097,18.872755292564978,good
sensor2,nose,16,2221,19.98874082250206,good
sensor2,nose,17,2322,20.89772903640242,good
sensor2,nose,18,2424,21.81571713360873,good
sensor2,nose,19,2746,24.71367955812276,good
sensor2,nose,20,2852,25.667667188552844,good
sensor2,nose,21,3129,28.16063486429939,good
sensor2,nose,22,3288,29.591616309944516,good
sensor2,nose,23,3390,30.509604407150825,good
sensor2,nose,24,3506,31.55359087064035,good
sensor2,nose,25,3797,34.17255691267011,good
sensor2,nose,26,3957,35.61253824162118,good
sensor2,nose,27,4023,36.2065305398135,good
sensor2,nose,28,4135,37.21451747007925,good
sensor2,nose,29,4269,38.42050183307577,good
sensor2,nose,30,4371,39.33848993028208,good
sensor2,nose,31,4559,41.03046799179959,good
sensor2,nose,32,4783,43.046441852331085,good
sensor2,nose,33,4972,44.74741979715454,good
sensor2,nose,34,5105,45.94440427684512,good
sensor2,nose,35,5298,47.68138175489235,good
sensor2,nose,36,5369,48.32037346961439,good
sensor2,nose,37,5484,49.355360049797966,good
sensor2,nose,38,5539,49.8503536316249,good
sensor2,nose,39,5831,52.47831955696061,good
sensor2,nose,40,6076,54.683290966916935,good
sensor2,nose,41,6158,55.42128139800435,good
sensor2,nose,42,6288,56.591266227777105,good
sensor2,nose,43,6497,58.47224183871944,good
sensor2,nose,44,6603,59.426229469149526,good
sensor2,nose,45,6999,62.990183258303425,good
sensor2,nose,46,7127,64.14216832146428,good
sensor2,nose,47,7179,64.61016225337337,good
sensor2,nose,48,7271,65.43815151752024,good
sensor2,nose,49,7365,66.284140548279,good
sensor2,nose,50,7543,67.88611977673706,good
sensor2,nose,51,7669,69.02010507328603,good
sensor2,nose,52,7898,71.08107835034725,good
sensor2,nose,53,8087,72.7820562951707,good
sensor2,nose,54,8268,74.41103517354661,good
sensor2,nose,55,8386,75.47302140364802,good
sensor2,nose,56,8497,76.47200845060783,good
sensor2,nose,57,8696,78.26298522849072,good
sensor2,nose,58,8823,79.40597040834564,good
sensor2,nose,59,8945,80.50395617167084,good
sensor2,nose,60,9024,81.21494695284042,good
sensor2,nose,61,9207,82.8619255978282,good
sensor2,nose,62,9335,84.01391066098907,good
sensor2,nose,63,9410,84.68890190893488,good
sensor2,nose,64,9513,85.61588988944713,good
sensor2,nose,65,9668,87.01087180186849,good
sensor2,nose,66,9810,88.28885523131255,good
sensor2,nose,67,9954,89.58483842736852,good
sensor2,nose,68,10126,91.13281835599092,good
sensor2,nose,69,10247,92.22180423601017,good
sensor2,nose,70,10391,93.51778743206614,good
sensor2,nose,71,10513,94.61577319539133,good
sensor2,nose,72,10668,96.01075510781268,good
sensor2,nose,73,10788,97.09074110452599,good
sensor2,nose,74,10887,97.98172955181445,good
sensor2,nose,75,11047,99.42171088076553,good
sensor2,nose,76,11119,100.06970247879352,good
sensor2,nose,77,11199,100.78969314326905,good
sensor2,nose,78,11338,102.04067692279529,good
sensor2,nose,79,11432,102.88666595355404,good
sensor2,nose,80,11583,104.24564833275161,good
sensor2,nose,81,11686,105.17263631326387,good
sensor2,nose,82,11802,106.2166227767534,good
sensor2,nose,83,11906,107.1526106405716,good
sensor2,nose,84,11998,107.98059990471846,good
sensor2,nose,85,12123,109.10558531796148,good
sensor2,nose,86,12285,110.56356641352444,good
sensor2,nose,87,12371,111.33755637783564,good
sensor2,nose,88,12458,112.12054622545278,good
sensor2,nose,89,12505,112.54354074083217,good
sensor2,nose,90,12608,113.47052872134442,good
sensor2,nose,91,12821,115.38750386551054,good
sensor3,finger,1,1700,15.299801620105132,fair
sensor3,finger,2,1873,16.85678143203348,fair
sensor3,finger,3,2197,19.772743623159396,fair
sensor3,finger,4,3028,27.251646650399024,fair
sensor3,finger,5,4287,38.58249973258277,fair
sensor3,finger,6,4455,40.09448012798139,fair
sensor3,finger,7,4619,41.57046099015624,fair
sensor3,finger,8,4784,43.05544173563703,fair
sensor3,finger,9,4869,43.82043181664229,fair
sensor3,finger,10,5119,46.07040264312834,fair
sensor3,finger,11,5284,47.55538338860913,fair
sensor3,finger,12,5371,48.338373236226275,fair
sensor3,finger,13,5626,50.63334347924204,fair
sensor3,finger,14,5811,52.29832189084172,fair
sensor3,finger,15,5973,53.75630298640468,fair
sensor3,finger,16,6161,55.44828104792219,fair
sensor3,finger,17,6336,57.023260626462424,fair
sensor3,finger,18,6513,58.61623997161455,fair
sensor3,finger,19,6684,60.155220016931004,fair
sensor3,finger,20,6769,60.92021009793626,fair
sensor3,finger,21,6853,61.676200295635574,fair
sensor3,finger,22,6939,62.45019025994677,fair
sensor3,finger,23,7020,63.17918080772825,fair
sensor3,finger,24,7158,64.42116470394855,fair
sensor3,finger,25,7278,65.50115070066185,fair
sensor3,finger,26,7365,66.284140548279,fair
sensor3,finger,27,7522,67.69712222731224,fair
sensor3,finger,28,8147,73.32204929352736,fair
sensor3,finger,29,9150,82.34893224938939,fair
sensor3,finger,30,9487,85.38189292349259,fair
sensor3,finger,31,9572,86.14688300449784,fair
sensor3,finger,32,9744,87.69486293312025,fair
sensor3,finger,33,9793,88.13585721511151,fair
sensor3,finger,34,9878,88.90084729611677,fair
sensor3,finger,35,10070,90.62882489085806,fair
sensor3,finger,36,10168,91.51081345484059,fair
sensor3,finger,37,10213,91.91580820360807,fair
sensor3,finger,38,10270,92.42880155204689,fair
sensor3,finger,39,10433,93.8957825309158,fair
sensor3,finger,40,10563,95.06576736068854,fair
sensor3,finger,41,10709,96.37975032335639,fair
sensor3,finger,42,10804,97.2347392374211,fair
sensor3,finger,43,11032,99.28671263117637,fair
sensor3,finger,44,11241,101.1676882421187,fair
sensor3,finger,45,11362,102.25667412213795,fair
sensor3,finger,46,11485,103.36365976876908,fair
sensor3,finger,47,11619,104.56964413176561,fair
sensor3,finger,48,11714,105.4246330458303,fair
sensor3,finger,49,11935,107.41360725644398,fair
sensor3,finger,50,12104,108.93458753514854,fair
sensor3,finger,51,12431,111.87754937619229,fair
sensor3,finger,52,12519,112.66953910711538,fair
sensor3,finger,53,12656,113.90252312002974,fair
sensor3,finger,54,12777,114.99150900004899,fair
sensor3,finger,55,12938,116.440490212306,fair
sensor3,finger,56,13034,117.30447900967664,fair
sensor3,finger,57,13132,118.18646757365917,fair
sensor3,finger,58,13217,118.95145765466444,fair
sensor3,finger,59,13312,119.80644656872913,fair
sensor4,wrist,1,83,0.7469903143933683,good
sensor4,wrist,2,154,1.3859820291154061,good
sensor4,wrist,3,302,2.717964758395147,good
sensor4,wrist,4,600,5.399929983566517,good
sensor4,wrist,5,750,6.749912479458147,good
sensor4,wrist,6,830,7.469903143933682,good
sensor4,wrist,7,911,8.198893691715162,good
sensor4,wrist,8,1069,9.620875254054345,good
sensor4,wrist,9,1151,10.358865685141769,good
sensor4,wrist,10,1233,11.096856116229192,good
sensor4,wrist,11,1389,12.500837911956488,good
sensor4,wrist,12,1555,13.994818540743225,good
sensor4,wrist,13,1709,15.38080056985863,good
sensor4,wrist,14,1790,16.10979111764011,good
sensor4,wrist,15,1878,16.9017808485632,good
sensor4,wrist,16,1963,17.666770929568457,good
sensor4,wrist,17,2119,19.07075272529575,good
sensor4,wrist,18,2283,20.546733587470598,good
sensor4,wrist,19,2368,21.311723668475857,good
sensor4,wrist,20,2863,25.76666590491823,good
sensor4,wrist,21,2949,26.540655869229433,good
sensor4,wrist,22,3033,27.296646066928744,good
sensor4,wrist,23,3114,28.025636614710226,good
sensor4,wrist,24,3193,28.736627395879818,good
sensor4,wrist,25,3280,29.519617243496963,good
sensor4,wrist,26,3367,30.30260709111411,good
sensor4,wrist,27,3530,31.769588069983012,good
sensor4,wrist,28,3619,32.57057768421205,good
sensor4,wrist,29,3707,33.36256741513513,good
sensor4,wrist,30,3796,34.16355702936416,good
sensor4,wrist,31,3961,35.64853777484496,good
sensor4,wrist,32,4047,36.42252773915616,good
sensor4,wrist,33,4127,37.1425184036317,good
sensor4,wrist,34,4208,37.871508951413176,good
sensor4,wrist,35,4292,38.62749914911249,good
sensor4,wrist,36,4377,39.39248923011775,good
sensor4,wrist,37,4539,40.8504703256807,good
sensor4,wrist,38,4626,41.63346017329785,good
sensor4,wrist,39,4705,42.34445095446744,good
sensor4,wrist,40,4788,43.091441268860805,good
sensor4,wrist,41,4871,43.83843158325418,good
sensor4,wrist,42,4957,44.612421547565376,good
sensor4,wrist,43,5038,45.341412095346854,good
sensor4,wrist,44,5125,46.124401942964,good
sensor4,wrist,45,5207,46.862392374051424,good
sensor4,wrist,46,5291,47.618382571750736,good
sensor4,wrist,47,5370,48.32937335292033,good
sensor4,wrist,48,5460,49.139362850455306,good
sensor4,wrist,49,5542,49.87735328154273,good
sensor4,wrist,50,5630,50.66934301246582,good
sensor4,wrist,51,5724,51.515332043224575,good
sensor4,wrist,52,5882,52.93731360556376,good
sensor4,wrist,53,5980,53.81930216954629,good
sensor4,wrist,54,6071,54.63829155038721,good
sensor4,wrist,55,6166,55.49328046445191,good
sensor4,wrist,56,6254,56.285270195375,good
sensor4,wrist,57,6338,57.04126039307431,good
sensor4,wrist,58,6425,57.824250240691455,good
sensor4,wrist,59,6516,58.64323962153238,good
sensor4,wrist,60,6607,59.4622290023733,good
sensor4,wrist,61,6687,60.18221966684884,good
sensor4,wrist,62,6770,60.9292099812422,good
sensor4,wrist,63,6857,61.71219982885935,good
sensor4,wrist,64,6940,62.45919014325272,good
sensor4,wrist,65,7109,63.98017042195729,good
sensor4,wrist,66,7281,65.5281503505797,good
sensor4,wrist,67,7446,67.01313109606048,good
sensor4,wrist,68,7603,68.42611277509371,good
sensor4,wrist,69,7764,69.87509398735074,good
sensor4,wrist,70,7986,71.87306808127035,good
sensor4,wrist,71,8243,74.18603809089801,good
sensor4,wrist,72,8819,79.36997087512187,good
sensor4,wrist,73,8904,80.13496095612712,good
sensor4,wrist,74,9159,82.42993119914289,good
sensor4,wrist,75,9492,85.4268923400223,good
sensor4,wrist,76,9690,87.20886923459925,good
sensor4,wrist,77,9832,88.48685266404333,good
sensor4,wrist,78,9933,89.3958408779437,good
sensor4,wrist,79,10020,90.17883072556084,good
sensor4,wrist,80,10098,90.88082162342448,good
sensor4,wrist,81,10224,92.01480691997345,good
sensor4,wrist,82,10268,92.410801785435,good
sensor4,wrist,83,10351,93.15779209982837,good
sensor4,wrist,84,10443,93.98578136397524,good
sensor4,wrist,85,10546,94.91276934448749,good
sensor4,wrist,86,10727,96.54174822286339,good
sensor4,wrist,87,10839,97.54973515312913,good
sensor4,wrist,88,11035,99.3137122810942,good
sensor4,wrist,89,11116,100.04270282887568,good
sensor4,wrist,90,11271,101.43768474129703,good
sensor4,wrist,91,11441,102.96766490330754,good
sensor4,wrist,92,11599,104.38964646564672,good
sensor4,wrist,93,11707,105.36163386268869,good
sensor4,wrist,94,11934,107.40460737313803,good
sensor4,wrist,95,12103,108.9255876518426,good
sensor4,wrist,96,12188,109.69057773284786,good
sensor4,wrist,97,12277,110.4915673470769,good
sensor4,wrist,98,12439,111.94954844263985,good
sensor4,wrist,99,12610,113.4885284879563,good
sensor4,wrist,100,12759,114.82951110054199,good
sensor4,wrist,101,12849,115.63950059807696,good
sensor4,wrist,102,12940,116.4584899789179,good
sensor4,wrist,103,13041,117.36747819281825,good
sensor4,wrist,104,13132,118.18646757365917,good
sensor5,ear,1,146,1.3139829626678525,excellent
sensor5,ear,2,215,1.934974910778002,excellent
sensor5,ear,3,297,2.6729653418654262,excellent
sensor5,ear,4,366,3.293957289975576,excellent
sensor5,ear,5,443,3.9869483045332785,excellent
sensor5,ear,6,513,4.616940135949372,excellent
sensor5,ear,7,592,5.327930917118964,excellent
sensor5,ear,8,739,6.650913763092761,excellent
sensor5,ear,9,819,7.370904427568296,excellent
sensor5,ear,10,898,8.081895208737887,excellent
sensor5,ear,11,1010,9.089882139003638,excellent
sensor5,ear,12,1099,9.890871753232672,excellent
sensor5,ear,13,1224,11.015857166475696,excellent
sensor5,ear,14,1369,12.320840245837603,excellent
sensor5,ear,15,1462,13.157829393290413,excellent
sensor5,ear,16,1543,13.886819941071893,excellent
sensor5,ear,17,1709,15.38080056985863,excellent
sensor5,ear,18,1764,15.875794151685561,excellent
sensor5,ear,19,1866,16.79378224889187,excellent
sensor5,ear,20,2030,18.269763111066716,excellent
sensor5,ear,21,2108,18.971754008930365,excellent
sensor5,ear,22,2263,20.366735921351715,excellent
sensor5,ear,23,2353,21.176725418886694,excellent
sensor5,ear,24,2435,21.914715849974115,excellent
sensor5,ear,25,2522,22.69770569759126,excellent
sensor5,ear,26,2604,23.435696128678686,excellent
sensor5,ear,27,2690,24.209686092989887,excellent
sensor5,ear,28,2763,24.866677574323813,excellent
sensor5,ear,29,2851,25.6586673052469,excellent
sensor5,ear,30,2935,26.414657502946213,excellent
sensor5,ear,31,3019,27.170647700645528,excellent
sensor5,ear,32,3101,27.90863813173295,excellent
sensor5,ear,33,3183,28.646628562820375,excellent
sensor5,ear,34,3267,29.402618760519687,excellent
sensor5,ear,35,3352,30.167608841524945,excellent
sensor5,ear,36,3433,30.896599389306424,excellent
sensor5,ear,37,3517,31.652589587005735,excellent
sensor5,ear,38,3605,32.44457931792883,excellent
sensor5,ear,39,3694,33.24556893215786,excellent
sensor5,ear,40,3786,34.073558196304724,excellent
sensor5,ear,41,3824,34.4155537619306,excellent
sensor5,ear,42,3859,34.73054967763865,excellent
sensor5,ear,43,3949,35.54053917517363,excellent
sensor5,ear,44,4034,36.305529256178886,excellent
sensor5,ear,45,4162,37.457514319339744,excellent
sensor5,ear,46,4284,38.555500082664935,excellent
sensor5,ear,47,4365,39.28449063044641,excellent
sensor5,ear,48,4442,39.97748164500412,excellent
sensor5,ear,49,4530,40.7694713759272,excellent
sensor5,ear,50,4613,41.516461690320575,excellent
sensor5,ear,51,4695,42.254452121408,excellent
sensor5,ear,52,4781,43.0284420857192,excellent
sensor5,ear,53,4860,43.73943286688879,excellent
sensor5,ear,54,4981,44.828418746908035,excellent
sensor5,ear,55,5114,46.02540322659862,excellent
sensor5,ear,56,5165,46.48439727520177,excellent
sensor5,ear,57,5278,47.50138408877346,excellent
sensor5,ear,58,5359,48.23037463655494,excellent
sensor5,ear,59,5450,49.04936401739587,excellent
sensor5,ear,60,5531,49.778354565177345,excellent
sensor5,ear,61,5620,50.57934417940638,excellent
sensor5,ear,62,5709,51.380333793635415,excellent
sensor5,ear,63,5798,52.18132340786445,excellent
sensor5,ear,64,5878,52.90131407233998,excellent
sensor5,ear,65,5966,53.69330380326307,excellent
sensor5,ear,66,6059,54.53029295071588,excellent
sensor5,ear,67,6152,55.367282098168694,excellent
sensor5,ear,68,6241,56.168271712397726,excellent
sensor5,ear,69,6328,56.95126156001487,excellent
sensor5,ear,70,6414,57.72525152432607,excellent
sensor5,ear,71,6504,58.53524102186105,excellent
sensor5,ear,72,6593,59.33623063609008,excellent
sensor5,ear,73,6675,60.074221067177504,excellent
sensor5,ear,74,6758,60.821211381570876,excellent
sensor5,ear,75,6844,61.595201345882074,excellent
sensor5,ear,76,6930,62.36919131019327,excellent
sensor5,ear,77,7010,63.08918197466881,excellent
sensor5,ear,78,7095,63.85417205567407,excellent
sensor5,ear,79,7159,64.4301645872545,excellent
sensor5,ear,80,7222,64.99715723552897,excellent
sensor5,ear,81,7353,66.17614194860766,excellent
sensor5,ear,82,7403,66.62613611390488,excellent
sensor5,ear,83,7448,67.03113086267237,excellent
sensor5,ear,84,7504,67.53512432780525,excellent
sensor5,ear,85,7597,68.37211347525806,excellent
sensor5,ear,86,7700,69.29910145577031,excellent
sensor5,ear,87,7826,70.43308675231927,excellent
sensor5,ear,88,7899,71.0900782336532,excellent
sensor5,ear,89,7973,71.75606959829307,excellent
sensor5,ear,90,8057,72.51205979599239,excellent
sensor5,ear,91,8151,73.35804882675114,excellent
sensor5,ear,92,8229,74.06003972461478,excellent
sensor5,ear,93,8322,74.8970288720676,excellent
sensor5,ear,94,8469,76.22001171804139,excellent
sensor5,ear,95,8560,77.03900109888231,excellent
sensor5,ear,96,8702,78.31698452832639,excellent
sensor5,ear,97,8805,79.24397250883864,excellent
sensor5,ear,98,8890,80.0089625898439,excellent
sensor5,ear,99,9026,81.23294671945231,excellent
sensor5,ear,100,9146,82.31293271616562,excellent
sensor5,ear,101,9229,83.05992303055898,excellent
sensor5,ear,102,9312,83.80691334495235,excellent
sensor5,ear,103,9391,84.51790412612193,excellent
sensor5,ear,104,9478,85.30089397373908,excellent
sensor5,ear,105,9563,86.06588405474434,excellent
sensor5,ear,106,9649,86.83987401905554,excellent
sensor5,ear,107,9806,88.25285569808878,excellent
sensor5,ear,108,9896,89.06284519562377,excellent
sensor5,ear,109,9970,89.72883656026363,excellent
sensor5,ear,110,10047,90.42182757482134,excellent
sensor5,ear,111,10087,90.7818229070591,excellent
