heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor3_time_s,sensor4_time_s,window_start_s,window_end_s,sensor5_time_s
0,15,sensor3-sensor4,finger→wrist,26.999436414243405,75.94941463326215,75.9764140696764,74.92343604952096,94.92101862033604,
1,15,sensor3-sensor4,finger→wrist,44.99906069040094,76.6693996043086,76.714398664999,74.92343604952096,94.92101862033604,
2,15,sensor3-sensor4,finger→wrist,35.999248552315066,77.47938269673585,77.51538194528817,74.92343604952096,94.92101862033604,
3,15,sensor3-sensor4,finger→wrist,26.999436414229194,78.35236447412967,78.3793639105439,74.92343604952096,94.92101862033604,
4,15,sensor3-sensor4,finger→wrist,44.99906069040094,79.20734662724732,79.25234568793772,74.92343604952096,94.92101862033604,
5,15,sensor3-sensor4,finger→wrist,0.0,80.07132859250306,80.07132859250306,74.92343604952096,94.92101862033604,
6,15,sensor3-sensor4,finger→wrist,35.999248552315066,80.8903114970684,80.92631074562071,74.92343604952096,94.92101862033604,
7,15,sensor3-sensor4,finger→wrist,17.999624276171744,81.72729402590988,81.74529365018606,74.92343604952096,94.92101862033604,
8,15,sensor3-sensor4,finger→wrist,17.999624276171744,82.57327636688946,82.59127599116563,74.92343604952096,94.92101862033604,
9,15,sensor3-sensor4,finger→wrist,71.99849710464434,83.42825852000712,83.50025701711176,74.92343604952096,94.92101862033604,
10,15,sensor3-sensor4,finger→wrist,26.999436414243405,84.25624123671054,84.28324067312478,74.92343604952096,94.92101862033604,
11,15,sensor3-sensor4,finger→wrist,26.999436414243405,85.12922301410435,85.1562224505186,74.92343604952096,94.92101862033604,
12,15,sensor3-sensor4,finger→wrist,26.999436414243405,85.99320497936009,86.02020441577433,74.92343604952096,94.92101862033604,
13,15,sensor3-sensor4,finger→wrist,17.999624276157533,86.78518844751119,86.80318807178735,74.92343604952096,94.92101862033604,
14,15,sensor3-sensor4,finger→wrist,44.99906069040094,87.6131711642146,87.658170224905,74.92343604952096,94.92101862033604,
15,15,sensor3-sensor4,finger→wrist,35.99924855232928,88.4501536930561,88.48615294160842,74.92343604952096,94.92101862033604,
16,15,sensor3-sensor4,finger→wrist,44.99906069040094,89.24213716120718,89.28713622189758,74.92343604952096,94.92101862033604,
17,15,sensor3-sensor4,finger→wrist,71.99849710464434,90.03412062935828,90.10611912646293,74.92343604952096,94.92101862033604,
18,15,sensor3-sensor4,finger→wrist,17.999624276157533,90.91610221889017,90.93410184316633,74.92343604952096,94.92101862033604,
19,15,sensor3-sensor4,finger→wrist,35.999248552315066,91.75308474773168,91.78908399628399,74.92343604952096,94.92101862033604,
20,15,sensor3-sensor4,finger→wrist,8.999812138085872,92.58106746443508,92.59006727657317,74.92343604952096,94.92101862033604,
21,15,sensor3-sensor4,finger→wrist,17.999624276157533,93.41804999327658,93.43604961755274,74.92343604952096,94.92101862033604,
22,15,sensor3-sensor4,finger→wrist,35.99924855232928,94.19203383715151,94.22803308570384,74.92343604952096,94.92101862033604,
23,17,sensor3-sensor4,finger→wrist,26.999436414243405,85.99320497936009,86.02020441577433,84.91322752279042,104.9108100936055,
24,17,sensor3-sensor4,finger→wrist,17.999624276157533,86.78518844751119,86.80318807178735,84.91322752279042,104.9108100936055,
25,17,sensor3-sensor4,finger→wrist,44.99906069040094,87.6131711642146,87.658170224905,84.91322752279042,104.9108100936055,
26,17,sensor3-sensor4,finger→wrist,35.99924855232928,88.4501536930561,88.48615294160842,84.91322752279042,104.9108100936055,
27,17,sensor3-sensor4,finger→wrist,44.99906069041515,89.24213716120718,89.2871362218976,84.91322752279042,104.9108100936055,
28,17,sensor3-sensor4,finger→wrist,71.99849710464434,90.03412062935828,90.10611912646293,84.91322752279042,104.9108100936055,
29,17,sensor3-sensor4,finger→wrist,17.999624276171744,90.91610221889017,90.93410184316635,84.91322752279042,104.9108100936055,
30,17,sensor3-sensor4,finger→wrist,35.999248552315066,91.75308474773168,91.78908399628399,84.91322752279042,104.9108100936055,
31,17,sensor3-sensor4,finger→wrist,8.999812138071661,92.5810674644351,92.59006727657317,84.91322752279042,104.9108100936055,
32,17,sensor3-sensor4,finger→wrist,26.999436414243405,93.41804999327658,93.44504942969083,84.91322752279042,104.9108100936055,
33,17,sensor3-sensor4,finger→wrist,35.999248552315066,94.18303402501344,94.21903327356576,84.91322752279042,104.9108100936055,
34,17,sensor3-sensor4,finger→wrist,35.999248552315066,95.00201692957877,95.03801617813109,84.91322752279042,104.9108100936055,
35,17,sensor3-sensor4,finger→wrist,26.999436414243405,95.8209998341441,95.84799927055835,84.91322752279042,104.9108100936055,
36,17,sensor3-sensor4,finger→wrist,44.99906069040094,96.55898442946672,96.60398349015712,84.91322752279042,104.9108100936055,
37,17,sensor3-sensor4,finger→wrist,17.999624276157533,97.33296827334165,97.3509678976178,84.91322752279042,104.9108100936055,
38,17,sensor3-sensor4,finger→wrist,17.999624276157533,98.1429513657689,98.16095099004505,84.91322752279042,104.9108100936055,
39,17,sensor3-sensor4,finger→wrist,35.99924855232928,98.97093408247231,99.00693333102464,84.91322752279042,104.9108100936055,
40,17,sensor3-sensor4,finger→wrist,35.999248552315066,99.73591811420917,99.77191736276149,84.91322752279042,104.9108100936055,
41,17,sensor3-sensor4,finger→wrist,0.0,100.54590120663642,100.54590120663642,84.91322752279042,104.9108100936055,
42,17,sensor3-sensor4,finger→wrist,26.999436414229194,101.33788467478752,101.36488411120175,84.91322752279042,104.9108100936055,
43,17,sensor3-sensor4,finger→wrist,35.999248552315066,102.11186851866245,102.14786776721476,84.91322752279042,104.9108100936055,
44,17,sensor3-sensor4,finger→wrist,-8.999812138085872,102.8228536775708,102.81385386543272,84.91322752279042,104.9108100936055,
45,17,sensor3-sensor4,finger→wrist,-26.999436414243405,103.56083827289342,103.53383883647918,84.91322752279042,104.9108100936055,
46,17,sensor3-sensor4,finger→wrist,35.99924855232928,104.29882286821602,104.33482211676835,84.91322752279042,104.9108100936055,
47,18,sensor3-sensor4,finger→wrist,17.999624276171744,90.91610221889017,90.93410184316635,89.90812325942515,109.90570583024024,
48,18,sensor3-sensor4,finger→wrist,35.999248552315066,91.75308474773168,91.78908399628399,89.90812325942515,109.90570583024024,
49,18,sensor3-sensor4,finger→wrist,8.999812138071661,92.5810674644351,92.59006727657317,89.90812325942515,109.90570583024024,
50,18,sensor3-sensor4,finger→wrist,26.999436414243405,93.41804999327658,93.44504942969083,89.90812325942515,109.90570583024024,
51,18,sensor3-sensor4,finger→wrist,35.999248552315066,94.18303402501344,94.21903327356576,89.90812325942515,109.90570583024024,
52,18,sensor3-sensor4,finger→wrist,35.999248552315066,95.00201692957877,95.03801617813109,89.90812325942515,109.90570583024024,
53,18,sensor3-sensor4,finger→wrist,26.999436414243405,95.8209998341441,95.84799927055835,89.90812325942515,109.90570583024024,
