sensor_pair,count,mean_ptt_ms,std_ptt_ms,min_ptt_ms,max_ptt_ms,median_ptt_ms,num_windows
sensor3-sensor4,170,25.68,19.13,-36.0,72.0,27.0,7
sensor3-sensor5,47,-72.0,32.34,-126.0,108.0,-72.0,2
