heartbeat_id,sensor_pair,sensor_names,ptt_ms,sensor2_time_s,sensor3_time_s,sensor4_time_s,sensor5_time_s
2,sensor2-sensor3,nose→finger,35.99922576312298,1.4039698047617912,1.4399690305249142,,
3,sensor2-sensor3,nose→finger,71.9984515262455,2.078955287820345,2.1509537393465905,,
5,sensor2-sensor3,nose→finger,143.99690305249146,2.735941157997337,2.8799380610498284,,
7,sensor2-sensor3,nose→finger,8.999806440781022,4.247908640048497,4.256908446489278,,
8,sensor2-sensor3,nose→finger,89.99806440780756,4.886894897343927,4.976892961751735,,
9,sensor2-sensor3,nose→finger,-26.999419322342177,5.759876122099657,5.732876702777315,,
14,sensor2-sensor3,nose→finger,89.99806440780667,9.404797730615845,9.494795795023652,,
16,sensor2-sensor3,nose→finger,116.99748373014884,10.943764631989348,11.060762115719497,,
17,sensor2-sensor3,nose→finger,125.99729017092898,11.681748760133367,11.807746050304296,,
18,sensor2-sensor3,nose→finger,8.99980644078191,12.527730565566753,12.536730372007534,,
20,sensor2-sensor3,nose→finger,53.998838644684355,14.030698241177133,14.084697079821817,,
21,sensor2-sensor3,nose→finger,89.99806440780667,14.723683337117247,14.813681401525054,,
24,sensor2-sensor3,nose→finger,62.99864508546449,16.964635140871646,17.02763378595711,,
25,sensor2-sensor3,nose→finger,62.99864508546804,17.729618688338004,17.792617333423472,,
26,sensor2-sensor3,nose→finger,-44.99903220390422,18.575600493771393,18.53060146156749,,
28,sensor2-sensor3,nose→finger,-26.9994193223404,20.09656778226333,20.06956836294099,,
29,sensor2-sensor3,nose→finger,179.99612881561333,20.65455578159174,20.834551910407352,,
30,sensor2-sensor3,nose→finger,62.99864508546449,21.55453642566981,21.617535070755274,,
31,sensor2-sensor3,nose→finger,-26.999419322343954,22.43651745686632,22.409518037543975,,
32,sensor2-sensor3,nose→finger,-26.999419322343954,23.255499842977365,23.22850042365502,,
33,sensor2-sensor3,nose→finger,98.99787084858858,23.921485519595137,24.020483390443726,,
34,sensor2-sensor3,nose→finger,-44.99903220390422,24.830465970113988,24.785466937910083,,
35,sensor2-sensor3,nose→finger,35.99922576312409,25.50545145317254,25.541450678935664,,
36,sensor2-sensor3,nose→finger,53.998838644684355,26.25243538775734,26.306434226402025,,
37,sensor2-sensor3,nose→finger,0.0,27.071417773868387,27.071417773868387,,
38,sensor2-sensor3,nose→finger,17.999612881560267,27.827401514893968,27.845401127775528,,
39,sensor2-sensor3,nose→finger,-179.99612881561333,28.790380804057502,28.61038467524189,,
40,sensor2-sensor3,nose→finger,-197.99574169717715,29.564364157964643,29.366368416267466,,
41,sensor2-sensor3,nose→finger,-62.99864508546449,30.18535080237851,30.122352157293047,,
42,sensor2-sensor3,nose→finger,53.998838644684355,30.851336478996284,30.90533531764097,,
43,sensor2-sensor3,nose→finger,80.99825796702476,31.589320607140305,31.67031886510733,,
45,sensor2-sensor3,nose→finger,107.99767728936871,33.12828750851381,33.236285185803176,,
46,sensor2-sensor3,nose→finger,-134.99709661170556,34.19026466852593,34.05526757191422,,
47,sensor2-sensor3,nose→finger,134.99709661171266,34.71225344209121,34.84725053870292,,
48,sensor2-sensor3,nose→finger,62.99864508546449,35.585234666846944,35.64823331193241,,
50,sensor2-sensor3,nose→finger,107.99767728936871,37.10620195533888,37.21419963262825,,
51,sensor2-sensor3,nose→finger,188.99593525640057,37.826186470601336,38.015182405857736,,
52,sensor2-sensor3,nose→finger,26.999419322343954,38.73516692112019,38.76216634044253,,
54,sensor2-sensor3,nose→finger,0.0,40.26513401605291,40.26513401605291,,
55,sensor2-sensor3,nose→finger,62.99864508546449,40.97611872487459,41.03911736996005,,
56,sensor2-sensor3,nose→finger,134.99709661171266,41.669103820814705,41.80410091742642,,
57,sensor2-sensor3,nose→finger,161.99651593405662,42.43408736828106,42.59608388421512,,
59,sensor2-sensor3,nose→finger,107.99767728936871,44.06305233406237,44.17105001135174,,
60,sensor2-sensor3,nose→finger,62.99864508546449,44.9360335588181,44.99903220390357,,
62,sensor2-sensor3,nose→finger,134.99709661170556,47.05098807240157,47.18598516901328,,
64,sensor2-sensor3,nose→finger,152.99670949327293,48.62595419953819,48.778950909031465,,
69,sensor2-sensor3,nose→finger,-35.999225763120535,52.72086613009342,52.6848669043303,,
70,sensor2-sensor3,nose→finger,53.9988386446808,53.413851226033536,53.46785006467822,,
71,sensor2-sensor3,nose→finger,8.999806440776581,54.295832257230046,54.30483206367082,,
72,sensor2-sensor3,nose→finger,-179.99612881560978,55.31281038503826,55.13281425622265,,
76,sensor2-sensor3,nose→finger,179.99612881561688,58.24674728473278,58.426743413548394,,
77,sensor2-sensor3,nose→finger,-35.999225763120535,59.236725993218656,59.200726767455535,,
80,sensor2-sensor3,nose→finger,80.99825796702476,61.43267876476915,61.513677022736175,,
81,sensor2-sensor3,nose→finger,71.99845152624818,62.20666211867629,62.27866057020254,,
82,sensor2-sensor3,nose→finger,89.99806440780134,62.98964527902422,63.07964334343202,,
85,sensor2-sensor3,nose→finger,26.99941932233685,65.47359185667969,65.50059127600203,,
86,sensor2-sensor3,nose→finger,35.999225763134746,66.27457462990917,66.3105738556723,,
89,sensor2-sensor3,nose→finger,-26.99941932233685,68.82151985265011,68.79452043332778,,
90,sensor2-sensor3,nose→finger,26.99941932233685,69.55950398079413,69.58650340011647,,
91,sensor2-sensor3,nose→finger,80.99825796702476,70.27948849605659,70.36048675402361,,
92,sensor2-sensor3,nose→finger,53.99883864468791,71.06247165640451,71.1164704950492,,
93,sensor2-sensor3,nose→finger,35.999225763120535,71.80945559098932,71.84545481675244,,
94,sensor2-sensor3,nose→finger,89.99806440780844,72.50244068692943,72.59243875133724,,
95,sensor2-sensor3,nose→finger,-17.999612881567373,73.39342152456672,73.37542191168515,,
98,sensor2-sensor3,nose→finger,62.998645085471594,75.69737197340658,75.76037061849205,,
100,sensor2-sensor3,nose→finger,-35.999225763120535,77.38933558427335,77.35333635851023,,
102,sensor2-sensor3,nose→finger,134.99709661171266,78.78430558259437,78.91930267920608,,
103,sensor2-sensor3,nose→finger,53.99883864468791,79.63928719446854,79.69328603311322,,
104,sensor2-sensor3,nose→finger,62.99864508545738,80.37727132261256,80.44026996769801,,
105,sensor2-sensor3,nose→finger,62.99864508545738,81.1512546765197,81.21425332160516,,
106,sensor2-sensor3,nose→finger,-125.99729017092898,82.06023512703854,81.93423783686761,,
107,sensor2-sensor3,nose→finger,-71.99845152624107,82.77121983586022,82.69922138433398,,
108,sensor2-sensor3,nose→finger,35.999225763120535,83.42820570603722,83.46420493180034,,
110,sensor2-sensor3,nose→finger,152.99670949326583,84.88617434944369,85.03917105893696,,
111,sensor2-sensor3,nose→finger,-8.999806440783686,85.82215421928488,85.8131544128441,,
113,sensor2-sensor3,nose→finger,-53.99883864468791,87.46911879794776,87.41511995930307,,
116,sensor2-sensor3,nose→finger,-8.999806440783686,89.79106885966918,89.7820690532284,,
117,sensor2-sensor3,nose→finger,-26.99941932233685,90.60105143933944,90.5740520200171,,
