heartbeat_id,sensor2_peak_time_s,sensor3_peak_time_s,sensor4_peak_time_s,sensor5_peak_time_s
1,,0.35097986459508557,0.40497676684048334,
2,1.3229241050122456,1.1609333982760521,1.1789323656911848,1.097937012323088
3,,1.9078905460040547,1.9258895134191873,1.8268951926359582
4,2.708844595977455,2.67284666114719,2.6638471774396235,2.5918513077790934
5,,3.464801227413024,3.5277976133659883,3.4108043251676263
6,,4.301753212216689,4.346750630754521,4.238756826263725
7,5.066709327359825,5.111706745897656,5.183702615558187,5.111706745897656
8,,5.8946618284559245,5.930659763286189,5.804666991380261
9,,6.677616911014192,6.704615362136891,6.605621041353661
10,,7.523568379525424,7.541567346940556,7.4695714772800255
11,8.162531722762632,8.315522945791258,8.342521396913957,8.252526559838294
12,9.08947854464196,9.080479060934392,9.098478028349525,9.017482674981428
13,10.043423817643987,9.872433627200227,9.89043259461536,9.79143827383213
14,,10.664388193466062,10.700386128296326,10.59239232380553
15,,11.429344308609195,11.474341727147028,11.357348438948666
16,12.158302488922066,12.167301972629632,12.230298358582596,12.104305586676668
17,13.058250859678695,12.959256538895467,12.995254473725732,12.87826118552737
18,,13.715213170331035,13.760210588868867,13.670215751793204
19,,14.498168252889304,14.50716773659687,14.372175480983374
20,15.182129014664342,15.200127982079474,15.254124884324872,15.119132628711379
21,,15.96508409722261,16.001082032052874,15.911087194977211
22,,16.721040728658178,16.757038663488444,16.66704382641278
23,,17.476997360093748,17.49499632750888,17.405001490433218
24,18.142959154453653,18.19695605669905,18.241953475236883,18.142959154453653
25,18.83591939993626,18.934913720719486,18.970911655549752,18.889916302181657
26,19.879859510013947,19.69986983586262,19.717868803277756,19.654872417324793
27,,20.428828016175494,20.48282491842089,20.374831113930096
28,,21.18478464761106,21.21178309873376,21.121788261658097
29,,21.949740762754196,21.985738697584463,21.886744376801232
30,22.831690166095694,22.723696361604897,22.76869378014273,22.642701008236802
31,,23.461654025625336,23.488652476748033,23.39865763967237
32,24.136615303692807,24.19961168964577,24.244609108183603,24.145614787400373
33,24.811576581760278,24.95556832108134,24.991566255911604,24.901571418835942
34,25.819518757007703,25.693525985101775,25.738523403639608,25.666527533979078
35,,26.404485197999513,26.43148364912221,26.35948777946168
36,27.025449573821586,27.151442345727517,27.151442345727517,27.088445959774553
37,,27.880400526040386,27.898399493455518,27.826403623794988
38,,28.61835819006082,28.69035405972135,28.582360255230558
39,,29.347316370373694,29.365315337788825,29.27532050071316
40,30.112272485516826,30.076274550686563,30.112272485516826,30.0132781647336
41,,30.850230149537264,30.868229116952396,30.796233247291866
42,31.696181618048495,31.579188329850133,31.6151862646804,31.543190395019867
43,,32.31714599387057,32.34414444499327,32.254149607917604
44,32.88411346744724,33.03710469047587,33.07310262530614,32.97410830452291
45,,33.82005977303414,33.82005977303414,33.74806390337361
46,34.63001330671511,34.54001846963944,34.603014855592406,34.47702208368648
47,,35.22397923141448,35.277976133659884,35.16998232916909
48,35.88094154206682,35.970936379142486,35.99793483026519,35.89894050948195
49,,36.69089507574779,36.73589249428562,36.66389662462509
50,37.41985325606066,37.437852223475794,37.446851707183356,37.36585635381526
51,,38.121812985250834,38.19380885491136,38.085815050420564
52,,38.86877013297883,38.88676910039396,38.787774779610736
53,,39.60672779699927,39.63372624812197,39.570729862169
54,40.21869268911378,40.35368494472727,40.38068339584997,40.272689591359175
55,,41.04664519020988,41.09164260874771,41.00164777167205
56,41.88359717501354,41.802601821645446,41.86559820759841,41.70360750086222
57,,42.54055948566588,42.54955896937345,42.441565164882654
58,,43.260518182271184,43.25151869856362,43.125525926657694
59,43.98047687887649,43.98047687887649,44.01647481370676,43.90848100921596
60,,44.70943505918936,44.72743402660449,44.646438673236396
61,,45.474391174332496,45.474391174332496,45.38439633725683
62,,46.1943498709378,46.1673514198151,46.122354001277266
63,,46.89630960012797,46.9143085675431,46.79731527934474
64,,47.634267264148406,47.67026519897867,47.57127087819544
65,,48.37222492816884,48.38122441187641,48.30922854221588
66,48.966190852868216,49.10118310848171,49.137181043311976,49.02918723882118
67,,49.803142837671885,49.83914077250215,49.74014645171892
68,,50.55009998539989,50.57709843652258,50.487103599446925
69,,51.32405558425059,51.36005351908085,51.27005868200519
70,,52.107010666808854,52.107010666808854,52.03501479714833
71,52.94396265161252,52.85396781453686,52.90796471678225,52.790971428583894
72,,53.65492186451026,53.69991928304809,53.609924445972425
73,,54.473874881898794,54.48287436560636,54.41087849594582
74,,55.27482893187219,55.25682996445706,55.17583461108896
75,56.0217860796002,56.0217860796002,56.06678349813802,55.949790209939664
76,,56.795741678450895,56.83173961328116,56.72374580879036
77,57.66869159808483,57.55169830988646,57.58769624471673,57.49770140764107
78,,58.307654941322035,58.3436528761523,58.2086606205388
79,,59.02761363792734,59.0636115727576,58.955617768266805
80,,59.810568720485605,59.810568720485605,59.72057388340994
81,,60.53052741709091,60.53952690079848,60.43153309630768
82,61.457474238970235,61.26848508111134,61.286484048526475,61.16949076032812
83,,62.01544222883935,62.04244067996205,61.91644790805612
84,,62.78039834398248,62.789397827690046,62.72640144173708
85,,63.51835600800292,63.55435394283318,63.43736065463482
86,,64.23831470460823,64.25631367202335,64.139320383825
87,,64.97627236862866,65.01227030345892,64.87727804784544
88,,65.72322951635667,65.75022796747936,65.65123364669613
89,66.60517891969816,66.47018666408466,66.52418356633007,66.380191827009
90,,67.1811458769824,67.21714381181266,67.08215155619918
91,,67.93710250841796,67.9551014758331,67.8471076713423
92,,68.68405965614598,68.69305913985355,68.61206378648544
93,,69.43101680387397,69.48501370611937,69.37701990162857
94,,70.14197601677171,70.19597291901711,70.05198117969606
95,70.85293522966946,70.87993368079215,70.91593161562241,70.79893832742405
96,71.62689082852015,71.60889186110502,71.65388927964285,71.55489495885962
97,72.49084126444652,72.35584900883302,72.40084642737085,72.29285262288006
98,73.26479686329722,73.08480718914589,73.09380667285346,73.0038118357778
99,,73.81376536945876,73.84976330428903,73.73277001609067
100,,74.55172303347919,74.58772096830947,74.48872664752624
101,,75.30767966491477,75.34367759974504,75.22668431154668
102,76.09063474747303,76.08163526376546,76.13563216601086,75.9916404266898
103,,76.8195929277859,76.8465913789086,76.72959809071024
104,77.53955162439121,77.57554955922147,77.62954646146687,77.50355368956095
105,78.53849431593106,78.34950515807218,78.37650360919487,78.30450773953434
106,,79.15945869175314,79.18645714287584,79.06946385467748
107,,79.90641583948114,79.92441480689628,79.82542048611305
108,,80.65337298720915,80.69837040574699,80.57237763384104
109,,81.40932961864472,81.43632806976741,81.34633323269175
110,,82.18328521749542,82.21928315232569,82.11128934783488
111,82.93924184893099,82.92124288151585,82.97523978376125,82.86724597927045
112,,83.65020106182872,83.72219693148925,83.58720467587575
113,,84.38815872584917,84.41515717697186,84.31616285618863
114,,85.16211432469986,85.19811225953012,85.0991179387469
115,85.97206785838083,85.90907147242787,85.97206785838083,85.8460750864749
116,,86.6470291364483,86.69202655498613,86.58403275049534
117,,87.40298576788386,87.43898370271414,87.3399893819309
118,,88.1949403341497,88.2219387852724,88.12294446448917
119,,88.95089696558527,88.9958943841231,88.87890109592475
120,,89.68885462960571,89.71585308072841,89.59885979253005
121,90.41781280991857,90.42681229362614,90.4628102284564,90.35481642396562
122,91.16476995764658,91.19176840876928,91.21876685989197,91.11077305540118
