heartbeat_id,sensor_pair,sensor_names,ptt_ms,sensor3_time_s,sensor4_time_s,sensor5_time_s
1,sensor3-sensor4,finger→wrist,71.99629621561532,0.5219731475632106,0.5939694437788259,
3,sensor3-sensor4,finger→wrist,8.999537026951998,1.9618990718755156,1.9708986089024676,
4,sensor3-sensor4,finger→wrist,80.9958332425671,2.717860182139476,2.798856015382043,
5,sensor3-sensor4,finger→wrist,-8.999537026951998,3.7978046253737046,3.7888050883467526,
6,sensor3-sensor4,finger→wrist,0.0,4.355775921044723,4.355775921044723,
7,sensor3-sensor4,finger→wrist,17.999074053903996,4.859749994554029,4.877749068607933,
8,sensor3-sensor4,finger→wrist,179.9907405390382,5.840699530491787,6.020690271030825,
9,sensor3-sensor4,finger→wrist,-125.99351837732709,7.0826356402111506,6.9566421218338235,
10,sensor3-sensor4,finger→wrist,44.99768513475999,7.658606009936072,7.703603695070832,
11,sensor3-sensor4,finger→wrist,98.9949072964702,8.081584250202813,8.180579157499283,
12,sensor3-sensor4,finger→wrist,-8.999537026951998,8.981537952898003,8.972538415871051,
14,sensor3-sensor4,finger→wrist,8.999537026951998,11.015433320989134,11.024432858016086,
18,sensor3-sensor4,finger→wrist,143.9925924312302,13.400310633131388,13.544303225562619,
19,sensor3-sensor4,finger→wrist,44.99768513475999,14.075275910152781,14.120273595287541,
20,sensor3-sensor4,finger→wrist,-116.9939813503742,14.840236557443694,14.72324257609332,
22,sensor3-sensor4,finger→wrist,53.99722216171199,16.325160166890758,16.37915738905247,
23,sensor3-sensor4,finger→wrist,26.998611080855994,17.441102758232795,17.46810136931365,
24,sensor3-sensor4,finger→wrist,89.99537026951643,17.98107497984991,18.071070350119427,
25,sensor3-sensor4,finger→wrist,26.998611080855994,18.575044423628736,18.60204303470959,
26,sensor3-sensor4,finger→wrist,35.99814810780799,19.106017108218897,19.142015256326705,
27,sensor3-sensor4,finger→wrist,53.99722216171199,20.16796247739922,20.221959699560934,
28,sensor3-sensor4,finger→wrist,44.99768513475644,20.743932847124146,20.788930532258902,
29,sensor3-sensor4,finger→wrist,53.99722216171199,21.310903679822115,21.364900901983827,
30,sensor3-sensor4,finger→wrist,44.99768513475999,21.86887497549313,21.91387266062789,
31,sensor3-sensor4,finger→wrist,62.99675918866399,22.444845345218056,22.50784210440672,
32,sensor3-sensor4,finger→wrist,62.99675918866399,22.94881941872736,23.011816177916025,
33,sensor3-sensor4,finger→wrist,17.999074053903996,23.488791640344477,23.50679071439838,
36,sensor3-sensor4,finger→wrist,116.99398135037242,25.558685156543415,25.675679137893788,
37,sensor3-sensor4,finger→wrist,107.99444432342398,26.116656452214432,26.224650896537856,
38,sensor3-sensor4,finger→wrist,17.999074053903996,26.72862497004716,26.746624044101065,
39,sensor3-sensor4,finger→wrist,98.99490729647198,27.223599506529517,27.32259441382599,
40,sensor3-sensor4,finger→wrist,80.99583324256798,27.772571265173582,27.85356709841615,
41,sensor3-sensor4,finger→wrist,71.99629621561598,28.339542097871554,28.41153839408717,
42,sensor3-sensor4,finger→wrist,53.99722216171199,28.951510615704283,29.005507837865995,
43,sensor3-sensor4,finger→wrist,62.996759188660434,29.50048237434835,29.56347913353701,
44,sensor3-sensor4,finger→wrist,53.99722216171199,30.076452744073272,30.130449966234984,
45,sensor3-sensor4,finger→wrist,80.99583324256798,30.652423113798193,30.73341894704076,
46,sensor3-sensor4,finger→wrist,35.99814810780799,31.30038977973873,31.336387927846538,
47,sensor3-sensor4,finger→wrist,53.99722216171199,31.867360612436702,31.921357834598414,
48,sensor3-sensor4,finger→wrist,35.99814810780089,32.46133005621553,32.49732820432333,
49,sensor3-sensor4,finger→wrist,44.99768513475999,33.09129764810216,33.13629533323692,
50,sensor3-sensor4,finger→wrist,53.99722216171199,33.73026477701575,33.78426199917746,
51,sensor3-sensor4,finger→wrist,62.99675918866399,34.333233757821525,34.39623051701019,
52,sensor3-sensor4,finger→wrist,53.99722216171199,34.92720320160035,34.98120042376206,
53,sensor3-sensor4,finger→wrist,26.998611080855994,35.566170330513934,35.59316894159479,
54,sensor3-sensor4,finger→wrist,44.99768513475999,36.30413236672399,36.34913005185875,
55,sensor3-sensor4,finger→wrist,35.99814810780799,36.97009810671843,37.00609625482624,
56,sensor3-sensor4,finger→wrist,35.99814810780799,37.609065235632016,37.645063383739824,
57,sensor3-sensor4,finger→wrist,44.99768513475999,38.23903282751865,38.28403051265341,
58,sensor3-sensor4,finger→wrist,26.998611080855994,38.89599903048614,38.922997641566994,
59,sensor3-sensor4,finger→wrist,17.999074053903996,39.51696708534582,39.53496615939972,
60,sensor3-sensor4,finger→wrist,35.99814810780799,40.1199360661516,40.15593421425941,
61,sensor3-sensor4,finger→wrist,53.99722216171199,40.794901343172995,40.84889856533471,
62,sensor3-sensor4,finger→wrist,17.999074053903996,41.44286800911353,41.460867083167436,
63,sensor3-sensor4,finger→wrist,35.99814810780799,42.06383606397321,42.09983421208102,
64,sensor3-sensor4,finger→wrist,35.99814810780799,42.72980180396765,42.76579995207546,
65,sensor3-sensor4,finger→wrist,17.999074053903996,43.395767543962094,43.413766618016,
66,sensor3-sensor4,finger→wrist,17.999074053903996,44.03473467287568,44.05273374692958,
67,sensor3-sensor4,finger→wrist,35.99814810780799,44.69170087584317,44.727699023950976,
68,sensor3-sensor4,finger→wrist,44.99768513475999,45.339667541783705,45.384665226918464,
69,sensor3-sensor4,finger→wrist,35.99814810780799,45.960635596643385,45.99663374475119,
70,sensor3-sensor4,finger→wrist,35.99814810780799,46.572604114476114,46.60860226258392,
71,sensor3-sensor4,finger→wrist,44.99768513475999,47.2295703174436,47.27456800257836,
72,sensor3-sensor4,finger→wrist,35.99814810780799,47.96753235365366,48.00353050176147,
73,sensor3-sensor4,finger→wrist,26.998611080855994,48.6334980936481,48.660496704728956,
74,sensor3-sensor4,finger→wrist,44.99768513475999,49.26346568553473,49.30846337066949,
75,sensor3-sensor4,finger→wrist,35.99814810780089,49.92943142552918,49.96542957363698,
76,sensor3-sensor4,finger→wrist,26.998611080855994,50.604396702550574,50.63139531363143,
77,sensor3-sensor4,finger→wrist,53.99722216171199,51.234364294437206,51.28836151659892,
78,sensor3-sensor4,finger→wrist,44.99768513475999,51.85533234929689,51.90033003443165,
79,sensor3-sensor4,finger→wrist,35.99814810780799,52.49429947821047,52.53029762631828,
80,sensor3-sensor4,finger→wrist,44.99768513475999,53.20526290333967,53.25026058847443,
81,sensor3-sensor4,finger→wrist,44.99768513475999,53.89822725441497,53.94322493954973,
82,sensor3-sensor4,finger→wrist,44.99768513475999,54.56419299440941,54.60919067954417,
83,sensor3-sensor4,finger→wrist,44.99768513475999,55.2211591973769,55.26615688251166,
84,sensor3-sensor4,finger→wrist,53.99722216171199,55.9321226225061,55.98611984466781,
85,sensor3-sensor4,finger→wrist,35.99814810780799,56.67908419574311,56.715082343850916,
86,sensor3-sensor4,finger→wrist,62.99675918866399,57.3540494727645,57.417046231953165,
87,sensor3-sensor4,finger→wrist,44.99768513475999,58.02001521275894,58.0650128978937,
88,sensor3-sensor4,finger→wrist,35.99814810780799,58.70398002680729,58.739978174915095,
89,sensor3-sensor4,finger→wrist,35.99814810780799,59.405943914909535,59.44194206301734,
90,sensor3-sensor4,finger→wrist,44.99768513475999,60.08990872895788,60.13490641409264,
91,sensor3-sensor4,finger→wrist,53.99722216171199,60.74687493192537,60.80087215408708,
92,sensor3-sensor4,finger→wrist,44.99768513475999,61.394841597865906,61.439839283000666,
93,sensor3-sensor4,finger→wrist,44.99768513475999,62.096805485968154,62.141803171102914,
94,sensor3-sensor4,finger→wrist,26.998611080855994,62.75377168893564,62.7807703000165,
95,sensor3-sensor4,finger→wrist,44.99768513475999,63.39273881784923,63.43773650298399,
96,sensor3-sensor4,finger→wrist,53.99722216171199,64.06770409487062,64.12170131703233,
97,sensor3-sensor4,finger→wrist,35.99814810780799,64.79666659405373,64.83266474216154,
98,sensor3-sensor4,finger→wrist,53.99722216171199,65.46263233404817,65.51662955620988,
99,sensor3-sensor4,finger→wrist,35.99814810780799,66.15559668512347,66.19159483323128,
100,sensor3-sensor4,finger→wrist,44.99768513475999,66.87555964727962,66.92055733241438,
101,sensor3-sensor4,finger→wrist,62.99675918866399,67.59552260943578,67.65851936862444,
102,sensor3-sensor4,finger→wrist,152.99212945818397,68.2254902013224,68.37848233078059,
103,sensor3-sensor4,finger→wrist,35.99814810780799,68.99045084861332,69.02644899672113,
104,sensor3-sensor4,finger→wrist,170.99120351208796,69.72841288482337,69.89940408833546,
106,sensor3-sensor4,finger→wrist,35.99814810780799,71.0513448277853,71.08734297589311,
108,sensor3-sensor4,finger→wrist,197.98981459294396,72.50926982615151,72.70725964074445,
110,sensor3-sensor4,finger→wrist,8.999537026951998,74.70515686072778,74.71415639775473,
114,sensor3-sensor4,finger→wrist,8.999537026951998,77.50401287610983,77.51301241313678,
115,sensor3-sensor4,finger→wrist,62.99675918866399,78.28697259745464,78.3499693566433,
116,sensor3-sensor4,finger→wrist,35.99814810780799,79.0789318558264,79.1149300039342,
117,sensor3-sensor4,finger→wrist,17.999074053903996,79.84389250311732,79.86189157717122,
118,sensor3-sensor4,finger→wrist,17.999074053903996,80.62685222446213,80.64485129851603,
119,sensor3-sensor4,finger→wrist,35.99814810780799,81.35581472364524,81.39181287175305,
120,sensor3-sensor4,finger→wrist,35.99814810780799,82.06677814877443,82.10277629688224,
121,sensor3-sensor4,finger→wrist,26.998611080855994,82.76874203687669,82.79574064795754,
122,sensor3-sensor4,finger→wrist,35.99814810780799,83.47970546200588,83.51570361011369,
123,sensor3-sensor4,finger→wrist,0.0,84.19966842416204,84.19966842416204,
124,sensor3-sensor4,finger→wrist,35.99814810780799,84.89263277523733,84.92863092334514,
125,sensor3-sensor4,finger→wrist,26.998611080855994,85.6845920336091,85.71159064468996,
126,sensor3-sensor4,finger→wrist,44.99768513475999,86.44955268090001,86.49455036603477,
127,sensor3-sensor4,finger→wrist,35.99814810780799,87.18751471711008,87.22351286521788,
128,sensor3-sensor4,finger→wrist,53.99722216171199,87.98847351250879,88.0424707346705,
129,sensor3-sensor4,finger→wrist,26.998611080855994,88.79843184493446,88.82543045601531,
130,sensor3-sensor4,finger→wrist,53.99722216171199,89.51839480709062,89.57239202925233,
131,sensor3-sensor4,finger→wrist,26.998611080855994,90.32835313951628,90.35535175059714,
132,sensor3-sensor4,finger→wrist,44.99768513475999,91.12031239788806,91.16531008302282,
133,sensor3-sensor4,finger→wrist,44.99768513475999,91.8582744340981,91.90327211923287,
134,sensor3-sensor4,finger→wrist,26.998611080855994,92.61423554436207,92.64123415544293,
135,sensor3-sensor4,finger→wrist,17.999074053903996,93.39719526570688,93.41519433976079,
136,sensor3-sensor4,finger→wrist,35.99814810780799,94.09915915380914,94.13515730191695,
137,sensor3-sensor4,finger→wrist,26.998611080855994,94.84612072704614,94.873119338127,
138,sensor3-sensor4,finger→wrist,35.99814810780799,95.60208183731011,95.63807998541792,
139,sensor3-sensor4,finger→wrist,17.999074053903996,96.3310443364932,96.34904341054711,
140,sensor3-sensor4,finger→wrist,62.99675918866399,97.02400868756851,97.08700544675717,
