heartbeat_id,sensor3_peak_time_s,sensor4_peak_time_s,sensor5_peak_time_s
1,0.5219731475632106,0.5939694437788259,0.5489717586440663
2,1.1339416653959402,,1.1429412024228922
3,1.9618990718755156,1.9708986089024676,
4,2.717860182139476,2.798856015382043,2.7358592561933794
5,3.7978046253737046,3.7888050883467526,3.7078092551041855
6,4.355775921044723,4.355775921044723,4.29277916185606
7,4.859749994554029,4.877749068607933,
8,5.840699530491787,6.020690271030825,
9,7.0826356402111506,6.9566421218338235,
10,7.658606009936072,7.703603695070832,
11,8.081584250202813,8.180579157499283,8.045586102095005
12,8.981537952898003,8.972538415871051,9.071533323167522
13,10.052482859105279,,9.926489340727953
14,11.015433320989134,11.024432858016086,
15,11.528406931525392,,11.501408320444536
18,13.400310633131388,13.544303225562619,
19,14.075275910152781,14.120273595287541,
20,14.840236557443694,14.72324257609332,
21,15.785187945273645,,15.695192575004125
22,16.325160166890758,16.37915738905247,16.370157852025518
23,17.441102758232795,17.46810136931365,
24,17.98107497984991,18.071070350119427,17.783085165256967
25,18.575044423628736,18.60204303470959,
26,19.106017108218897,19.142015256326705,19.268008774704033
27,20.16796247739922,20.221959699560934,20.11396525523751
28,20.743932847124146,20.788930532258902,20.653937476854626
29,21.310903679822115,21.364900901983827,21.229907846579547
30,21.86887497549313,21.91387266062789,21.940871271708748
31,22.444845345218056,22.50784210440672,22.37284904900244
32,22.94881941872736,23.011816177916025,
33,23.488791640344477,23.50679071439838,23.533789325479237
34,24.12775876925806,,23.98376617682683
35,25.099708768168867,,25.16270552735753
36,25.558685156543415,25.675679137893788,25.549685619516463
37,26.116656452214432,26.224650896537856,
38,26.72862497004716,26.746624044101065,26.6656282108585
39,27.223599506529517,27.32259441382599,27.205600432475613
40,27.772571265173582,27.85356709841615,27.790570339227486
41,28.339542097871554,28.41153839408717,
42,28.951510615704283,29.005507837865995,28.93351154165038
43,29.50048237434835,29.56347913353701,29.45548468921359
44,30.076452744073272,30.130449966234984,30.058453670019368
45,30.652423113798193,30.73341894704076,30.652423113798193
46,31.30038977973873,31.336387927846538,31.255392094603973
47,31.867360612436702,31.921357834598414,31.714368482978518
48,32.46133005621553,32.49732820432333,32.41633237108077
49,33.09129764810216,33.13629533323692,33.0462999629674
50,33.73026477701575,33.78426199917746,33.70326616593489
51,34.333233757821525,34.39623051701019,34.288236072686765
52,34.92720320160035,34.98120042376206,34.88220551646559
53,35.566170330513934,35.59316894159479,35.521172645379174
54,36.30413236672399,36.34913005185875,36.25013514456228
55,36.97009810671843,37.00609625482624,36.898101810502816
56,37.609065235632016,37.645063383739824,37.57306708752421
57,38.23903282751865,38.28403051265341,38.19403514238389
58,38.89599903048614,38.922997641566994,38.86000088237833
59,39.51696708534582,39.53496615939972,39.44497078913021
60,40.1199360661516,40.15593421425941,
61,40.794901343172995,40.84889856533471,40.76790273209214
62,41.44286800911353,41.460867083167436,41.370871712897916
63,42.06383606397321,42.09983421208102,41.9918397677576
64,42.72980180396765,42.76579995207546,42.71180272991375
65,43.395767543962094,43.413766618016,43.305772173692574
66,44.03473467287568,44.05273374692958,43.96273837666006
67,44.69170087584317,44.727699023950976,44.637703653681456
68,45.339667541783705,45.384665226918464,45.249672171514185
69,45.960635596643385,45.99663374475119,45.90663837448167
70,46.572604114476114,46.60860226258392,46.536605966368306
71,47.2295703174436,47.27456800257836,47.15757402122799
72,47.96753235365366,48.00353050176147,47.91353513149195
73,48.6334980936481,48.660496704728956,48.570501334459436
74,49.26346568553473,49.30846337066949,49.21846800039998
75,49.92943142552918,49.96542957363698,49.88443374039442
76,50.604396702550574,50.63139531363143,50.55039948038886
77,51.234364294437206,51.28836151659892,51.2163652203833
78,51.85533234929689,51.90033003443165,51.74733790497346
79,52.49429947821047,52.53029762631828,52.458301330102664
80,53.20526290333967,53.25026058847443,53.15126568117796
81,53.89822725441497,53.94322493954973,53.82623095819935
82,54.56419299440941,54.60919067954417,54.492196698193794
83,55.2211591973769,55.26615688251166,55.16716197521519
84,55.9321226225061,55.98611984466781,55.89612447439829
85,56.67908419574311,56.715082343850916,56.616087436554444
86,57.3540494727645,57.417046231953165,57.3540494727645
87,58.02001521275894,58.0650128978937,57.96601799059723
88,58.70398002680729,58.739978174915095,58.63198373059167
89,59.405943914909535,59.44194206301734,59.35194669274782
90,60.08990872895788,60.13490641409264,60.08090919193093
91,60.74687493192537,60.80087215408708,
92,61.394841597865906,61.439839283000666,61.36784298678505
93,62.096805485968154,62.141803171102914,62.0878059489412
94,62.75377168893564,62.7807703000165,62.73577261488174
95,63.39273881784923,63.43773650298399,63.36574020676837
96,64.06770409487062,64.12170131703233,64.00470733568196
97,64.79666659405373,64.83266474216154,64.75166890891897
98,65.46263233404817,65.51662955620988,65.4176346489134
99,66.15559668512347,66.19159483323128,66.12859807404261
100,66.87555964727962,66.92055733241438,66.84856103619876
101,67.59552260943578,67.65851936862444,67.54152538727406
102,68.2254902013224,68.37848233078059,68.2434892753763
103,68.99045084861332,69.02644899672113,68.92745408942466
104,69.72841288482337,69.89940408833546,69.69241473671556
106,71.0513448277853,71.08734297589311,71.04234529075835
107,71.86130316021098,,71.78930686399536
108,72.50926982615151,72.70725964074445,72.48227121507065
109,73.98519389857162,,73.94019621343686
110,74.70515686072778,74.71415639775473,
112,76.07308648882447,,76.01908926666276
113,76.55006195125291,,76.71205361773805
114,77.50401287610983,77.51301241313678,77.44101611692116
115,78.28697259745464,78.3499693566433,78.25997398637378
116,79.0789318558264,79.1149300039342,79.03393417069164
117,79.84389250311732,79.86189157717122,79.78089574392865
118,80.62685222446213,80.64485129851603,80.56385546527346
119,81.35581472364524,81.39181287175305,81.31981657553743
120,82.06677814877443,82.10277629688224,82.01278092661272
121,82.76874203687669,82.79574064795754,82.68774620363412
122,83.47970546200588,83.51570361011369,83.44370731389807
123,84.19966842416204,84.19966842416204,84.13667166497338
124,84.89263277523733,84.92863092334514,84.86563416415648
125,85.6845920336091,85.71159064468996,85.6305948114474
126,86.44955268090001,86.49455036603477,86.3955554587383
127,87.18751471711008,87.22351286521788,87.16051610602922
128,87.98847351250879,88.0424707346705,87.97947397548184
129,88.79843184493446,88.82543045601531,88.7534341597997
130,89.51839480709062,89.57239202925233,89.49139619600976
131,90.32835313951628,90.35535175059714,90.28335545438152
132,91.12031239788806,91.16531008302282,91.0573156386994
133,91.8582744340981,91.90327211923287,91.83127582301725
134,92.61423554436207,92.64123415544293,92.55123878517341
135,93.39719526570688,93.41519433976079,93.33419850651822
136,94.09915915380914,94.13515730191695,94.06316100570133
137,94.84612072704614,94.873119338127,94.79212350488443
138,95.60208183731011,95.63807998541792,95.5660836892023
139,96.3310443364932,96.34904341054711,96.28604665135845
140,97.02400868756851,97.08700544675717,96.9880105394607
141,97.80696840891332,97.85196609404808,97.75297118675161
142,98.54493044512337,98.58992813025813,98.46393461188082
143,99.25589387025258,99.30089155538734,99.18389757403696
144,100.03885359159739,100.0748517397052,99.99385590646263
145,100.7858151648344,100.82181331294221,100.73181794267269
146,101.52377720104445,101.55977534915226,101.4787795159097
147,102.29773738536232,102.34273507049708,102.25273970022756
148,103.08969664373409,103.13469432886885,103.02669988454542
149,103.82765867994415,103.87265636507891,103.78266099480939
150,104.60161886426201,104.62861747534286,104.52062303101944
151,105.38457858560683,105.42957627074159,105.32158182641817
152,106.12254062181688,106.15853876992469,
153,106.87850173208084,106.91449988018864,106.80650543586523
154,107.6524619163987,107.67946052747956,107.598464694237
155,108.3814244155818,108.41742256368961,108.29142904531228
156,109.11938645179187,109.14638506287272,109.0383906185493
157,109.88434709908277,109.93834432124449,109.83034987692106
158,110.69430543150845,110.73030357961626,110.64030820934674
159,111.4322674677185,111.46826561582631,111.37827024555679
160,112.21522718906333,112.25122533717114,112.15223042987466
161,113.02518552148899,113.07018320662375,112.98018783635423
162,113.81714477986077,113.84414339094162,113.74514848364515
163,114.56410635309777,114.61810357525948,114.51910866796301
164,115.39206375957734,115.4370614447121,115.32006746336172
165,116.24701977713778,116.28301792524559,116.17502348092216
166,117.02097996145564,117.0659776465904,116.97598227632088
167,117.83093829388132,117.87593597901608,117.76794153469265
168,118.64989616333393,118.6948938484687,118.61389801522613
169,119.43285588467876,119.46885403278655,119.35186005143619
170,120.18881699494271,120.23381468007747,120.134819772781
171,120.98977579034143,121.01677440142228,120.94477810520667
172,121.73673736357844,121.7817350487132,121.68274014141673
173,122.45670032573459,122.4926984738424,122.41170264059983
174,123.17666328789075,123.22166097302551,123.12266606572904
175,123.92362486112775,123.94162393518165,123.86062810193908
176,124.62558874923,124.64358782328391,124.55359245301439
177,125.32755263733225,125.372550322467,125.28255495219749
178,126.08351374759621,126.13751096975793,126.0295165254345
179,126.83047532083322,126.85747393191407,126.7584790246176
180,127.54143874596242,127.58643643109718,127.48744152380071
181,128.27940078217247,128.3513970783881,128.22540356001076
182,129.0803595775712,129.08935911459815,129.01736281838254
183,129.8093220767543,129.84532022486212,129.74632531756563
184,130.54728411296435,130.58328226107216,130.5022864278296
185,131.31224476025528,131.33924337133612,131.24024846403967
186,132.0772054075462,132.10420401862703,132.0142086483575
187,132.78816883267538,132.81516744375622,132.7251720734867
188,133.52613086888545,133.54412994293935,133.46313410969677
189,134.26409290509548,134.3000910532033,134.20109614590683
190,135.00205494130554,135.02905355238642,134.9390581821169
191,135.71301836643474,135.7400169775156,135.6500216072461
192,136.44198086561786,136.47797901372567,136.3789841064292
193,137.2339401239896,137.26993827209742,137.17094336480096
194,137.97190216019968,137.99890077128055,137.90890540101103
195,138.73686280749058,138.76386141857145,138.67386604830193
196,139.52882206586236,139.56482021397017,139.47482484370065
197,140.29378271315326,140.32978086126107,140.2127868799107
198,141.01374567530942,141.06774289747113,140.97774752720161
199,141.7877058596273,141.81470447070814,141.71570956341168
200,142.54366696989123,142.5706655809721,
201,143.2456308579935,143.2456308579935,143.20963270988568
202,143.92059613501488,143.9745933571766,143.8485998387993
203,144.5955614120363,144.64055909717104,144.54156418987458
204,145.24352807797683,145.27052668905768,145.17153178176122
205,145.89149474391735,145.92749289202516,145.83749752175564
206,146.56646002093876,146.60245816904657,146.521462335804
207,147.3584192793105,147.37641835336441,147.29542252012186
208,148.07838224146667,148.13237946362838,148.02438501930496
209,148.80734474064977,148.85234242578454,148.75334751848806
210,149.53630723983287,149.55430631388677,149.46431094361728
211,150.3192669611777,150.3372660352316,150.265269739016
212,151.03922992333383,151.05722899738774,
213,151.78619149657086,151.8311891817056,
214,152.5601516808887,152.59614982899652,152.66814612521213
215,153.32511232817964,153.34311140223355,
216,154.06307436438968,154.0990725124975,154.04507529033577
217,154.76503825249193,154.78303732654584,154.64804427114157
218,155.4670021405942,155.51199982572894,155.41300491843248
219,156.20496417680425,156.249961861939,156.14196741761558
220,156.9789243611221,157.00592297220297,156.93392667598735
221,157.68988778625132,157.70788686030522,157.6358905640896
222,158.44584889651526,158.48184704462307,158.39185167435355
223,159.27380630299484,159.30980445110265,159.21980908083313
224,160.06576556136662,160.09276417244746,159.9757701910971
225,160.82172667163056,160.87572389379227,160.7767289864958
226,161.64968407811014,161.676682689191,161.5866873189215
227,162.47764148458972,162.51363963269753,162.423644262428
228,163.2516016689076,163.29659935404234,163.17960537269198
229,164.02556185322544,164.06156000133325,163.95356555700982
230,164.82652064862418,164.85351925970502,164.77252342646247
231,165.61847990699593,165.63647898104983,165.56448268483422
232,166.36544148023293,166.4104391653677,166.32044379509819
233,167.16640027563167,167.1753998126586,167.0854044423891
234,167.95835953400342,167.9853581450843,167.91336184886867
235,168.7323197183213,168.7683178664291,168.63332481102483
236,169.4612822175044,169.50627990263916,169.40728499534268
237,170.26224101290313,170.29823916101094,170.19924425371445
238,171.0901984193827,171.1261965674905,171.03620119722098
239,171.8731581407275,171.9091562888353,171.79216230748494
240,172.63811878801843,172.65611786207234,172.58412156585672
241,173.42107850936324,173.466076194498,173.37608082422847
242,174.21303776773502,174.24903591584282,174.1410414715194
243,174.95099980394505,174.99599748907983,174.89700258178334
244,175.7519585993438,175.7519585993438,175.67996230312818
245,176.60691461690422,176.64291276501203,176.5709164687964
246,177.42587248635684,177.47087017149158,177.35387619014122
247,178.20883220770165,178.26282942986336,178.15483498553994
248,179.01879054012733,179.06378822526207,178.96479331796561
249,179.87374655768775,179.92774377984946,179.828748872553
250,180.66570581605953,180.71070350119427,180.5937095198439
251,181.46666461145824,181.51166229659302,181.39466831524263
252,182.28562248091086,182.33062016604563,182.2046266476683
253,183.12257942441738,183.16757710955216,183.04158359117483
254,183.90553914576222,183.94153729387003,183.82454331251964
255,184.66150025602616,184.71549747818787,184.60750303386445
256,185.45345951439793,185.4984571995327,185.37246368115538
257,186.26341784682361,186.31741506898533,186.18242201358103
258,187.06437664222233,187.0913752533032,186.9743812719528
259,187.8203377524863,187.86533543762104,187.74834145627068
260,188.6392956219389,188.67529377004672,188.5852983997772
261,189.44025441733763,189.4852521024724,189.37725765814898
262,190.2322136757094,190.25921228679024,190.16921691652072
263,191.05117154516202,191.08716969326983,190.97017571191947
264,191.88812848866854,191.9151270997494,191.8431308035338
265,192.7070863581212,192.7610835802829,192.63509006190557
266,193.49904561649294,193.5260442275738,193.44504839433122
267,194.30900394891862,194.35400163405336,194.24600718972994
268,195.172959503506,195.21795718864075,195.12796181837123
269,195.97391829890472,196.01891598403947,195.9019220026891
270,196.7838766313304,196.8018757053843,196.71188033511478
271,197.65683172294473,197.70182940807948,197.58483542672911
272,198.52978681455906,198.5567854256399,198.48478912942429
273,199.33974514698474,199.38474283211949,199.28574792482303
274,200.19470116454517,200.221699775626,200.1317044053565
275,201.1036544042673,201.1396525523751,201.04065764507865
276,201.9676099588547,202.0036081069625,201.90461319966602
277,202.79556736533425,202.81356643938815,202.7325706061456
278,203.6325243088408,203.6685224569486,203.55152847559822
279,204.47848078937426,204.49647986342816,204.4154840301856
280,205.2614405107191,205.2974386588269,205.20744328855739
281,206.08039838017172,206.10739699125256,206.02640115801
282,206.93535439773214,206.96235300881298,206.87235763854346
283,207.75431226718476,207.78131087826563,207.6733164339422
284,208.54627152555653,208.58226967366434,208.48327476636786
285,209.3562298579822,209.37422893203612,209.2842335617666
286,210.19318680148874,210.23818448662348,210.13019004230006
287,210.96714698580658,211.0211442079683,210.895150689591
288,211.7321076330975,211.78610485525923,211.68710994796274
289,212.54206596552316,212.57806411363097,212.4610701322806
