heartbeat_id,window_id,sensor_pair,sensor_names,ptt_ms,sensor2_time_s,sensor3_time_s,window_start_s,window_end_s,reference_sensor,reference_mean_ibi_ms,sensor4_time_s,sensor5_time_s
1,6,sensor2-sensor3,nose→finger,44.99901553010588,31.643307720770135,31.68830673630024,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
2,6,sensor2-sensor3,nose→finger,62.9986217421461,32.40829098478193,32.471289606524074,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
3,6,sensor2-sensor3,nose→finger,44.99901553010943,33.164274445687695,33.209273461217805,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
4,6,sensor2-sensor3,nose→finger,44.99901553010233,33.938257512805514,33.983256528335616,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
5,6,sensor2-sensor3,nose→finger,53.99881863612421,34.712240579923325,34.76623939855945,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
6,6,sensor2-sensor3,nose→finger,35.99921242408044,35.522222859465224,35.558222071889304,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
7,6,sensor2-sensor3,nose→finger,62.9986217421461,36.22420750173487,36.28720612347701,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
8,6,sensor2-sensor3,nose→finger,44.99901553010943,37.01619017506472,37.06118919059483,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
9,6,sensor2-sensor3,nose→finger,35.999212424087546,37.8171726515006,37.853171863924686,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
10,6,sensor2-sensor3,nose→finger,44.99901553010943,38.60015552172443,38.64515453725454,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
11,6,sensor2-sensor3,nose→finger,44.99901553010233,39.356138982630206,39.40113799816031,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
12,6,sensor2-sensor3,nose→finger,44.99901553010233,40.09412283732394,40.13912185285404,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
13,6,sensor2-sensor3,nose→finger,35.999212424087546,40.859106101335726,40.895105313759814,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
14,6,sensor2-sensor3,nose→finger,44.99901553010943,41.615089562241494,41.6600885777716,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
15,6,sensor2-sensor3,nose→finger,35.999212424087546,42.362073220041246,42.398072432465334,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
16,6,sensor2-sensor3,nose→finger,44.99901553010943,43.05505805920487,43.10005707473498,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
17,6,sensor2-sensor3,nose→finger,26.99940931806566,43.80204171700462,43.829041126322686,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
18,6,sensor2-sensor3,nose→finger,44.99901553010943,44.53102576859233,44.57602478412244,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
19,6,sensor2-sensor3,nose→finger,26.99940931806566,45.29600903260412,45.323008441922184,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
20,6,sensor2-sensor3,nose→finger,53.99881863612421,45.98899387176775,46.04299269040387,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
21,6,sensor2-sensor3,nose→finger,17.999606212043773,46.7809765450976,46.798976151309645,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
22,6,sensor2-sensor3,nose→finger,35.999212424087546,47.563959415321435,47.59995862774552,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
23,6,sensor2-sensor3,nose→finger,26.99940931806566,48.382941497969355,48.40994090728742,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
24,6,sensor2-sensor3,nose→finger,26.99940931806566,49.16592436819319,49.192923777511254,29.969344343050214,49.966906844629065,sensor5,761.7433348936246,,
25,7,sensor2-sensor3,nose→finger,26.99940931806566,35.522222859465224,35.54922226878329,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
26,7,sensor2-sensor3,nose→finger,71.99842484816799,36.22420750173487,36.296205926583035,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
27,7,sensor2-sensor3,nose→finger,44.99901553010943,37.01619017506472,37.06118919059483,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
28,7,sensor2-sensor3,nose→finger,35.999212424087546,37.8171726515006,37.853171863924686,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
29,7,sensor2-sensor3,nose→finger,44.99901553010943,38.60015552172443,38.64515453725454,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
30,7,sensor2-sensor3,nose→finger,44.99901553010233,39.356138982630206,39.40113799816031,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
31,7,sensor2-sensor3,nose→finger,44.99901553010233,40.09412283732394,40.13912185285404,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
32,7,sensor2-sensor3,nose→finger,35.999212424087546,40.859106101335726,40.895105313759814,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
33,7,sensor2-sensor3,nose→finger,44.99901553010233,41.6150895622415,41.6600885777716,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
34,7,sensor2-sensor3,nose→finger,35.999212424087546,42.362073220041246,42.398072432465334,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
35,7,sensor2-sensor3,nose→finger,44.99901553010233,43.055058059204875,43.10005707473498,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
36,7,sensor2-sensor3,nose→finger,26.99940931806566,43.80204171700462,43.829041126322686,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
37,7,sensor2-sensor3,nose→finger,44.99901553010943,44.53102576859233,44.57602478412244,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
38,7,sensor2-sensor3,nose→finger,26.99940931806566,45.29600903260412,45.323008441922184,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
39,7,sensor2-sensor3,nose→finger,53.99881863612421,45.98899387176775,46.04299269040387,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
40,7,sensor2-sensor3,nose→finger,17.999606212043773,46.7809765450976,46.798976151309645,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
41,7,sensor2-sensor3,nose→finger,35.999212424087546,47.563959415321435,47.59995862774552,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
42,7,sensor2-sensor3,nose→finger,26.99940931806566,48.382941497969355,48.40994090728742,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
43,7,sensor2-sensor3,nose→finger,26.99940931806566,49.15692456508717,49.18392397440523,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
44,7,sensor2-sensor3,nose→finger,44.99901553010233,49.91290802599294,49.95790704152304,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
45,7,sensor2-sensor3,nose→finger,35.99921242408044,50.71389050242882,50.7498897148529,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
46,7,sensor2-sensor3,nose→finger,35.999212424087546,51.52387278197071,51.5598719943948,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
47,7,sensor2-sensor3,nose→finger,35.99921242408044,52.30685565219455,52.34285486461863,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
48,7,sensor2-sensor3,nose→finger,44.99901553010233,53.04483950688828,53.08983852241838,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
49,7,sensor2-sensor3,nose→finger,44.99901553010943,53.791823164688026,53.836822180218135,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
50,7,sensor2-sensor3,nose→finger,44.99901553010943,54.58380583801788,54.62880485354799,34.964235066891916,54.96179756847077,sensor2,762.4633191421063,,
51,8,sensor2-sensor3,nose→finger,35.99921242408044,40.859106101335726,40.89510531375981,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
52,8,sensor2-sensor3,nose→finger,44.99901553010943,41.615089562241494,41.6600885777716,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
53,8,sensor2-sensor3,nose→finger,35.99921242408044,42.362073220041246,42.39807243246533,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
54,8,sensor2-sensor3,nose→finger,44.99901553010943,43.05505805920487,43.10005707473498,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
55,8,sensor2-sensor3,nose→finger,26.999409318058554,43.80204171700462,43.82904112632268,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
56,8,sensor2-sensor3,nose→finger,44.99901553010233,44.53102576859233,44.57602478412243,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
57,8,sensor2-sensor3,nose→finger,26.99940931806566,45.29600903260412,45.323008441922184,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
58,8,sensor2-sensor3,nose→finger,53.99881863612421,45.98899387176775,46.04299269040387,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
59,8,sensor2-sensor3,nose→finger,17.999606212036667,46.7809765450976,46.79897615130964,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
60,8,sensor2-sensor3,nose→finger,35.99921242408044,47.563959415321435,47.599958627745515,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
61,8,sensor2-sensor3,nose→finger,26.999409318058554,48.382941497969355,48.409940907287414,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
62,8,sensor2-sensor3,nose→finger,26.99940931806566,49.15692456508717,49.18392397440523,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
63,8,sensor2-sensor3,nose→finger,44.99901553010943,49.912908025992934,49.95790704152304,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
64,8,sensor2-sensor3,nose→finger,35.999212424087546,50.71389050242881,50.7498897148529,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
65,8,sensor2-sensor3,nose→finger,35.999212424087546,51.52387278197071,51.5598719943948,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
66,8,sensor2-sensor3,nose→finger,35.999212424087546,52.30685565219454,52.34285486461863,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
67,8,sensor2-sensor3,nose→finger,44.99901553010233,53.04483950688827,53.089838522418376,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
68,8,sensor2-sensor3,nose→finger,44.99901553010233,53.791823164688026,53.83682218021813,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
69,8,sensor2-sensor3,nose→finger,35.99921242408044,54.58380583801788,54.61980505044196,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
70,8,sensor2-sensor3,nose→finger,26.99940931806566,55.366788708241714,55.39378811755978,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
71,8,sensor2-sensor3,nose→finger,35.999212424087546,56.1317719722535,56.16777118467759,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
72,8,sensor2-sensor3,nose→finger,35.99921242408044,56.842756417629175,56.878755630053256,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
73,8,sensor2-sensor3,nose→finger,44.99901553010943,57.5807402723229,57.62573928785301,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
74,8,sensor2-sensor3,nose→finger,35.99921242408044,58.33672373322867,58.372722945652754,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
75,8,sensor2-sensor3,nose→finger,44.99901553010233,59.10170699724046,59.146706012770565,39.959125790733616,59.95668829231247,sensor2,760.1083706626974,,
76,9,sensor2-sensor3,nose→finger,35.99921242408044,45.27800942639208,45.31400863881616,44.95401651457532,64.95157901615417,sensor2,774.703051366295,,
77,9,sensor2-sensor3,nose→finger,53.99881863612421,45.98899387176775,46.04299269040387,44.95401651457532,64.95157901615417,sensor2,774.703051366295,,
78,9,sensor2-sensor3,nose→finger,17.999606212043773,46.7809765450976,46.798976151309645,44.95401651457532,64.95157901615417,sensor2,774.703051366295,,
79,9,sensor2-sensor3,nose→finger,35.999212424087546,47.563959415321435,47.59995862774552,44.95401651457532,64.95157901615417,sensor2,774.703051366295,,
80,9,sensor2-sensor3,nose→finger,26.99940931806566,48.382941497969355,48.40994090728742,44.95401651457532,64.95157901615417,sensor2,774.703051366295,,
81,9,sensor2-sensor3,nose→finger,26.99940931806566,49.15692456508717,49.18392397440523,44.95401651457532,64.95157901615417,sensor2,774.703051366295,,
82,9,sensor2-sensor3,nose→finger,44.99901553010233,49.91290802599294,49.95790704152304,44.95401651457532,64.95157901615417,sensor2,774.703051366295,,
83,9,sensor2-sensor3,nose→finger,35.99921242408044,50.71389050242882,50.7498897148529,44.95401651457532,64.95157901615417,sensor2,774.703051366295,,
84,9,sensor2-sensor3,nose→finger,35.99921242408044,51.52387278197072,51.5598719943948,44.95401651457532,64.95157901615417,sensor2,774.703051366295,,
