sensor,sensor_name,peak_count,quality,valid_ibi_ratio,hr_mean_bpm,hr_std_bpm,ibi_mean_ms,ibi_std_ms,rmssd_ms,pnn50_percent,signal_duration_s,fft_hr_bpm,fft_peak_freq_hz
sensor2,nose,676,excellent,0.9362962962962963,71.0359941772002,17.376287448206533,886.553937672089,196.48469503034642,250.72228044156577,58.45697329376854,600.0078732753198,51.910664761673765,0.8651777460278961
sensor3,finger,673,excellent,0.9583333333333334,69.46027371148877,12.994198336128823,891.8108464731313,183.6992739225889,232.1594522196244,47.24292101341281,600.0078732753198,51.910664761673765,0.8651777460278961
sensor4,wrist,684,excellent,0.9516837481698389,71.36715380334596,16.669366777104237,877.3687994309048,182.66197831106783,241.92490368993683,56.74486803519062,600.0078732753198,51.910664761673765,0.8651777460278961
sensor5,ear,696,excellent,0.9712230215827338,73.27351375532803,19.876640649608053,861.4818722795176,177.6975747287245,221.01526825534168,54.32276657060518,600.0078732753198,51.910664761673765,0.8651777460278961
